seed,coverage,episode_duration,noise,method,tracking,feasible,rho,steering_rms,peak_rate,worst_family,beta_prediction,yaw_prediction,parameter_relative_error
33,restricted,8,clean,Global,0.011154645579625878,1.0,0.9663719025752484,0.8110369910024011,1.1444987322057618,0.011726012389367347,0.11709475636777142,0.31615474278227973,0.07924488100391656
33,restricted,8,clean,Local,0.006681053977625563,1.0,0.9679656938895894,0.810991666831464,1.1454564793704205,0.006934137242905237,0.017982602039311527,0.04649572210771736,0.0025334514423037235
33,restricted,8,noisy,Family,0.007456065252938513,1.0,0.9678705703950622,0.8110035964860166,1.1451333629488,0.007598881308652577,0.03529525906454297,0.13349580370341183,0.023389980539955373
33,restricted,8,noisy,Global,0.011153575775721928,1.0,0.9663713452855552,0.8110368680594578,1.1444980960809106,0.011722403504727471,0.1171195737229248,0.31606589685905156,0.07944248681121137
33,restricted,8,noisy,Local,0.006680471305227444,1.0,0.967969631265699,0.8109915289712433,1.145446684840829,0.006919724858329501,0.01799555881817397,0.04737488832652388,0.004201655382157763
34,broad,2,clean,Family,0.007585991042066788,1.0,0.968306590357723,0.8081333257804062,1.1364031354130697,0.0077892898992342465,0.037197995314311755,0.15647797236937844,0.028118768218208932
34,broad,2,clean,Global,0.011483169617819845,1.0,0.9666024190079034,0.8081629108789077,1.1357682324915994,0.01429388975517953,0.11242122737153129,0.34905086631796073,0.07646848831021846
34,broad,2,clean,Local,0.006674602616265947,1.0,0.968441422511698,0.8081321666703467,1.1366258642648617,0.006744804070744121,0.01802958020738107,0.04609606885839672,0.00265943885377402
34,broad,2,noisy,Family,0.007580778464062813,1.0,0.9683250350553384,0.8081326723786797,1.136405772012035,0.007783506772339429,0.03698392452959014,0.15648650256775476,0.028171811260485177
34,broad,2,noisy,Global,0.011479173638470185,1.0,0.9666060425087568,0.8081623726671203,1.135767946684968,0.014282392379399973,0.11236900611130489,0.34905332100805486,0.07626592463675617
34,broad,2,noisy,Local,0.006673127455817882,1.0,0.9684389412381824,0.8081317375097357,1.1366445809071193,0.00674520274659354,0.01775111447801293,0.04723318378322518,0.007305262144839196
34,broad,8,clean,Family,0.007587358092880535,1.0,0.9683011391402516,0.8081336697014015,1.136402813771526,0.007797679105792986,0.03721697427298313,0.15638138564285037,0.028213410389365902
34,broad,8,clean,Global,0.011568217349146849,1.0,0.9665438040047504,0.8081745531054646,1.1357811513424731,0.01458281570794023,0.11302717174714198,0.35057949211485634,0.07763808729366997
34,broad,8,clean,Local,0.006666408962303959,1.0,0.9684478804855868,0.8081309087723211,1.1366246123707886,0.006733374035112513,0.017417489030950344,0.04644981474448831,0.0032648787697853
34,broad,8,noisy,Family,0.007582701713924209,1.0,0.9683071972430554,0.8081327795125205,1.1364003396513558,0.007786909814018933,0.037125650203075906,0.15638924008890268,0.028241528226883937
34,broad,8,noisy,Global,0.011561115807559861,1.0,0.9665484385623576,0.8081737003970828,1.135780118394604,0.01456471960046848,0.11295074567792333,0.35057141211921894,0.07758056738510308
34,broad,8,noisy,Local,0.006661842506295322,1.0,0.9684628476097912,0.8081300414085107,1.1366337801094233,0.006723058040732043,0.017032793744106423,0.046589491676385486,0.00452402590408979
34,restricted,2,clean,Family,0.007625863972051605,1.0,0.9682815805298288,0.8081322667706656,1.136356421284704,0.007836963580752636,0.03916709637966233,0.15741084360591312,0.02837330143150186
34,restricted,2,clean,Global,0.011415440629384273,1.0,0.966655645120397,0.8081529620284329,1.1357589675094135,0.014048873044670524,0.11190087214481358,0.3480306188718999,0.07487037790053977
34,restricted,2,clean,Local,0.006680400542927208,1.0,0.9684335078656764,0.8081330226486325,1.1366277428806348,0.00675221388914224,0.018506050276483388,0.04604925012040912,0.0021277235476469367
