seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,0,18,22,1,legacy,strong,M1,0.04506880761377657,1.1487301324482444,2.8250046996600653,1.0,0.04554774126673336
21,0,18,22,1,legacy,strong,M2,0.04502646846495082,1.1487320968945944,2.8255796750985973,1.0,0.04585808366493889
21,0,18,22,1,legacy,strong,M3,0.0445822185253167,1.1485761081133448,2.828640146189075,1.0,0.04517578081802652
21,0,18,22,1,legacy,strong,M4,0.04454265046569299,1.1485781944680797,2.829255273900732,1.0,0.04545249770978074
21,0,18,22,1,vy,moderate,M1,0.027804353759156672,0.7599699710901149,1.8967602365067933,1.0,0.028117932007956963
21,0,18,22,1,vy,moderate,M2,0.027776087459964436,0.7599712405501354,1.8971408455401804,1.0,0.028305908567189918
21,0,18,22,1,vy,moderate,M3,0.027480518034363504,0.7598737720014506,1.899153191880831,1.0,0.02787220110003649
21,0,18,22,1,vy,moderate,M4,0.027453943833368695,0.7598751168258084,1.899560680265355,1.0,0.028036684739150212
21,0,18,22,1,vy,near_linear,M1,0.013375392693547076,0.37831583751323594,0.9492271580006916,1.0,0.013529587614570166
21,0,18,22,1,vy,near_linear,M2,0.013361367865119935,0.3783164666035381,0.9494095996610632,1.0,0.013619562980697586
21,0,18,22,1,vy,near_linear,M3,0.013211244530385803,0.3782694078456629,0.9504249384189344,1.0,0.01340481273326527
21,0,18,22,1,vy,near_linear,M4,0.013198012140564059,0.3782700729776026,0.9506207810723324,1.0,0.01348277629973272
21,0,18,22,1,vy,strong,M1,0.045079285936498494,1.1486996784458958,2.8266216398903,1.0,0.04555819368599458
21,0,18,22,1,vy,strong,M2,0.04503689142114212,1.148701639014633,2.827198658384848,1.0,0.04586868093191621
21,0,18,22,1,vy,strong,M3,0.044592464035060675,1.148546186859477,2.8302543867716525,1.0,0.04518590860647315
21,0,18,22,1,vy,strong,M4,0.04455281698408777,1.1485482694549412,2.8308715643776776,1.0,0.04546278623088798
21,0,18,22,2,beta_noacc,moderate,M1,0.007722754798873973,0.7594424575925105,0.9587867200606308,1.0,0.007913561681166987
21,0,18,22,2,beta_noacc,moderate,M2,0.0076875420720478585,0.7594426787198636,0.9588253628381312,1.0,0.007958317996370753
21,0,18,22,2,beta_noacc,moderate,M3,0.007520267126090123,0.7594152332143406,0.9596234574404005,1.0,0.00779767405660676
21,0,18,22,2,beta_noacc,moderate,M4,0.007488105658508308,0.759415477554973,0.9596676181160202,1.0,0.007818424390624234
