speed_mps,a00,a01,a10,a11,b00,b10,continuous_pole_1_real,continuous_pole_1_imag,continuous_pole_2_real,continuous_pole_2_imag,discrete_pole_radius_max,beta_dc_gain_rad_per_rad,yaw_rate_dc_gain_per_s,kinematic_yaw_gain_per_s,controllability_sigma_min,controllability_condition,a_condition,ad_condition
19.9,-5.360134003350084,-0.9461293064989941,12.8,-6.432160804020101,2.680067001675042,38.4,-5.896147403685093,3.438480006899623,-5.896147403685093,-3.438480006899623,0.9427430885429637,-0.40982370612599767,5.154450824809264,7.107142857142857,6.203623710804289,35.77337813699685,4.833920349300886,1.1262898582793675
20.0,-5.333333333333333,-0.9466666666666667,12.8,-6.4,2.6666666666666665,38.4,-5.866666666666666,3.4398966392740484,-5.866666666666666,-3.4398966392740484,0.9430210571252367,-0.4169741697416975,5.1660516605166045,7.142857142857143,6.237482384963974,35.41113841775972,4.856518131068639,1.1262784071451368
20.1,-5.306799336650082,-0.9471960265009942,12.8,-6.3681592039801,2.653399668325041,38.4,-5.837479270315091,3.441291610314073,-5.837479270315091,-3.441291610314073,0.9432963405909424,-0.42412080873407065,5.177517174444517,7.17857142857143,6.2712906805466275,35.05480876186449,4.879094538555448,1.1262671259237846
20.200000000000003,-5.28052805280528,-0.9477175440316309,12.8,-6.336633663366336,2.64026402640264,38.4,-5.808580858085806,3.4426653625411,-5.808580858085806,-3.4426653625411,0.9435689776479832,-0.4312633597240443,5.188848013357431,7.214285714285716,6.305048852624443,34.70425855024103,4.901648894456055,1.1262560112729607
20.3,-5.254515599343185,-0.9482313734054859,12.8,-6.305418719211823,2.6272577996715927,38.4,-5.779967159277504,3.4440183271511216,-5.779967159277504,-3.4440183271511216,0.943839006264041,-0.43840156257504653,5.200044827972655,7.250000000000001,6.338757150272382,34.35936081757849,4.924180529685196,1.1262450599320335
20.4,-5.2287581699346415,-0.9487376650006408,12.8,-6.2745098039215685,2.6143790849673207,38.4,-5.7516339869281055,3.445350924363384,-5.7516339869281055,-3.445350924363384,0.9441064636841835,-0.44553516038389945,5.211108272816845,7.285714285714286,6.37241581672849,34.01999212840654,4.946688783370452,1.126234268719706
20.5,-5.203252032520325,-0.949236565536387,12.8,-6.2439024390243905,2.6016260162601625,38.4,-5.723577235772358,3.4466635637564753,-5.723577235772358,-3.4466635637564753,0.9443713864479671,-0.45266389947120045,5.222039006084039,7.321428571428572,6.406025089550259,33.68603245811712,4.969173002843419,1.126223634531712
20.6,-5.17799352750809,-0.9497282181795331,12.8,-6.213592233009709,2.588996763754045,38.4,-5.6957928802588995,3.447956644592398,-5.6957928802588995,-3.447956644592398,0.9446338104060596,-0.4597875293712066,5.232837689495314,7.3571428571428585,6.439585200765835,33.35736507870596,4.991632543629163,1.126213154338589
20.700000000000003,-5.152979066022544,-0.9502127626471252,12.8,-6.183574879227052,2.576489533011272,38.4,-5.668276972624797,3.449230556129082,-5.668276972624797,-3.449230556129082,0.9448937707363932,-0.46690580282123406,5.243504988160046,7.392857142857144,6.4730963770212275,33.033876449014734,5.014066769434045,1.1262028251835299
20.8,-5.128205128205129,-0.9506903353057199,12.8,-6.153846153846154,2.5641025641025643,38.4,-5.641025641025642,3.4504856779218382,-5.641025641025642,-3.4504856779218382,0.9451513019598667,-0.474018475750577,5.254041570438799,7.42857142857143,6.506558839723062,32.71545610927192,5.036475052131931,1.1261926441803007
20.9,-5.103668261562999,-0.9511610692673397,12.8,-6.124401913875598,2.5518341307814993,38.4,-5.614035087719299,3.451722380114179,-5.614035087719299,-3.451722380114179,0.9454064379556071,-0.4811253072689778,5.264448107807836,7.464285714285714,6.539972805177539,32.40199657973687,5.058856771748814,1.126182608511232
21.0,-5.079365079365079,-0.9516250944822373,12.8,-6.095238095238095,2.5396825396825395,38.4,-5.587301587301588,3.4529410237184623,-5.587301587301588,-3.4529410237184623,0.9456592119758137,-0.48822605965463156,5.274725274725274,7.500000000000001,6.573338484724917,32.093393263267004,5.081211316445881,1.1261727154252754
21.1,-5.0552922590837275,-0.9520825378285902,12.8,-6.0663507109004735,2.5276461295418637,38.4,-5.5608214849921005,3.4541419608867323,-5.5608214849921005,-3.4541419608867323,0.9459096566601849,-0.49532049834176817,5.284873748498869,7.5357142857142865,6.606656084870809,31.789544351628514,5.103538082501095,1.1261629622361207
21.200000000000003,-5.031446540880503,-0.9525335231992406,12.8,-6.037735849056603,2.5157232704402515,38.4,-5.534591194968554,3.455325535172178,-5.534591194968554,-3.455325535172178,0.946157804049955,-0.5024083919078035,5.294894209155457,7.571428571428573,6.6399258074131655,31.490350735390223,5.125836474289289,1.1261533463203819
21.3,-5.007824726134586,-0.9529781715855907,12.8,-6.009389671361502,2.503912363067293,38.4,-5.508607198748043,3.456492081781573,-5.508607198748043,-3.456492081781573,0.9464036856015424,-0.5094895120600743,5.304787339312042,7.607142857142858,6.673147849566094,31.195715917239216,5.148105904260806,1.1261438651158335
