case,method,client,family,rho,worst_speed,mean_relative_a,mean_relative_b,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
nonlinear_near_svd,M5,nominal_07,nominal,1.6486853520872105,26.1,0.13519152034037377,0.6808522773524102,0.2870965444275975,0.3597908713689815,2.0639831019578048,5.766961870868008,1101.8575179684456,4.076231185420655,0.8003196627829651,True,True
nonlinear_near_svd,M5,nominal_08,nominal,1.6845866426539862,26.1,0.11911238639913842,0.6849852624219291,0.3031220463786231,0.32177845781055675,2.1647284979040866,6.0227425522115245,1149.943026792515,4.133230235894724,0.8118052793881855,True,True
nonlinear_near_svd,M5,nominal_09,nominal,1.683923735423984,26.1,0.13448830635183873,0.6844715199026372,0.29503875031932697,0.35923148163165025,2.1174302410274897,5.933342296637853,1133.1004691046714,4.132422099282727,0.8115988558871611,True,True
nonlinear_near_svd,M5,heavy_00,heavy,1.3830648220479889,12.0,0.06749728212796591,0.4799676356407365,0.0624887205842076,0.4678718458665822,0.9077450766568786,2.083765559060978,25.050931883106255,3.2013750208220277,0.37677947673673895,True,True
nonlinear_near_svd,M5,heavy_01,heavy,1.3384060949630607,12.0,0.058711503306281006,0.48212723636595295,0.06304306436577348,0.43654657949991577,0.9554528300674113,2.1699807524035597,23.29584540040537,3.2227979717335287,0.37978058663856923,True,True
nonlinear_near_svd,M5,heavy_02,heavy,1.4191768688918134,12.0,0.061090848818113004,0.483523346290607,0.06535650776781189,0.4088927955380178,0.9344588693236651,2.13002199248192,25.37814120270572,3.2611042276652404,0.3861930893667624,True,True
nonlinear_near_svd,M5,heavy_03,heavy,1.4018521650504836,12.0,0.06420158248654893,0.47082310879166045,0.06367250903361497,0.46469721826339816,0.9291153793273279,2.1242451829152436,24.966922914426902,3.1977032934031917,0.37621207234887305,True,True
nonlinear_near_svd,M5,heavy_04,heavy,1.374787817534023,12.0,0.06833697733524131,0.488502422791597,0.06201196214784383,0.45919574414403225,0.8994651514050644,2.0672892010219295,24.641001683791462,3.214377778031516,0.3788073789157715,True,True
nonlinear_near_svd,M5,heavy_05,heavy,1.3537530310769899,12.0,0.06086191687792973,0.4956112690121314,0.0630843253680498,0.41793387932552956,0.9336424401693205,2.1278763160091514,24.6501968349292,3.2517482099406507,0.3844707236753891,True,True
nonlinear_near_svd,M5,heavy_06,heavy,1.3147971629322512,12.0,0.056606231394842665,0.47657542256840607,0.06321340719750994,0.44466608237799204,0.9769971164900183,2.2105504210834974,22.905752137183338,3.2071433014636326,0.3771808305067143,True,True
nonlinear_near_svd,M5,heavy_07,heavy,1.3604406292088917,12.0,0.057787126429527505,0.4680763061153879,0.06408206994517922,0.45604470698308264,0.9719972954658017,2.2031738238839194,23.86584063747816,3.1949525906051783,0.37547906967879996,True,True
nonlinear_near_svd,M5,heavy_08,heavy,1.3362782612587103,12.0,0.07164917974371245,0.4859987933771856,0.061327397094683475,0.49751872912369083,0.8902088517789123,2.051986322146151,26.08072685271784,3.174037950421888,0.3724213127923061,True,True
nonlinear_near_svd,M5,heavy_09,heavy,1.3880480810708218,12.0,0.06132752183983001,0.48608389379169836,0.06396424129173287,0.421127433660456,0.9334069194706321,2.1283766079511017,24.55433257861395,3.247387956963863,0.38390939037158356,True,True
nonlinear_near_svd,M5,handling_00,handling,1.0124561715615623,12.0,0.08878429600262353,0.5826320437035685,0.059307826402073056,0.2754849229408625,1.0547044971821038,2.3459565883916196,22.417416080724767,3.311146412011435,0.38795380931099555,True,True
nonlinear_near_svd,M5,handling_01,handling,1.0122703191686986,12.0,0.08951040421674133,0.5817563030997794,0.057273535789802814,0.28309369795039835,1.0490095267300095,2.3358952496850147,22.43713292691352,3.298445071200232,0.38559532569566835,True,True
nonlinear_near_svd,M5,handling_02,handling,1.012618128817461,12.0,0.0886968996127231,0.5833362016394797,0.06107783059308844,0.26944466567616415,1.0551953363166922,2.3465495623318393,22.532957065350477,3.3230076311969916,0.3901634744933047,True,True
nonlinear_near_svd,M5,handling_03,handling,1.012856182256737,12.0,0.08361642385367518,0.5849052136384845,0.06576757458667873,0.2558847731831636,1.1120677874182086,2.4498488809163015,21.603028258397828,3.3265322193446694,0.39074165174937564,True,True
nonlinear_near_svd,M5,handling_04,handling,1.0135173239768562,12.0,0.0835289119149064,0.586334153547365,0.07322469101146117,0.23254982813783356,1.1128104646107642,2.449274994152793,26.179371109263357,3.3733958551360086,0.3993733734784499,True,True
nonlinear_near_svd,M5,handling_05,handling,1.0129926100909599,12.0,0.08627569214231619,0.5826771060176793,0.0648871642244361,0.2517009955077918,1.0712793600086203,2.374051192560396,23.311316292283305,3.3518505221955928,0.3953173269509347,True,True
nonlinear_near_svd,M5,handling_06,handling,1.0123343220602243,12.0,0.08681970373348422,0.5841796736249163,0.059044646792386316,0.28054591982042376,1.0776724832925224,2.389064362672439,22.177683222432496,3.29247744484096,0.38461650678547377,True,True
