seed,method,cohort,epsilon,draw,tracking,feasible,rho
86,Isotropic,100,4,1,0.008217063308963629,1.0,0.968777397237096
86,Isotropic,100,4,2,0.007884068453497832,1.0,0.9684747695560676
86,Isotropic,100,4,3,0.008321481195987107,1.0,0.9680690913381966
86,Isotropic,100,4,4,0.0077068739320741925,1.0,0.9687625700621426
86,Isotropic,100,4,5,0.008960229970323075,1.0,0.968304265860874
86,Isotropic,100,4,6,0.007853167004751423,1.0,0.968672339967459
86,Isotropic,100,4,7,0.007741829607273423,1.0,0.9689341367282917
86,Isotropic,100,4,8,0.007852586605139648,1.0,0.96844308815282
86,Isotropic,100,4,9,0.008037730377008234,1.0,0.968749856951795
86,Isotropic,100,8,0,0.007927928467568188,1.0,0.96853261387737
86,Isotropic,100,8,1,0.00795075311320763,1.0,0.9686373918429408
86,Isotropic,100,8,2,0.008130593900776107,1.0,0.9684775819938892
86,Isotropic,100,8,3,0.007919851986026696,1.0,0.9686050029650464
86,Isotropic,100,8,4,0.00806207861697122,1.0,0.9684435082310308
86,Isotropic,100,8,5,0.007948802507918774,1.0,0.9686668211350684
86,Isotropic,100,8,6,0.007802094907076343,1.0,0.96860193477309
86,Isotropic,100,8,7,0.007907028436276657,1.0,0.968660126884066
86,Isotropic,100,8,8,0.00790795080847865,1.0,0.9685967463695748
86,Isotropic,100,8,9,0.00778694113018028,1.0,0.968807083993642
86,Isotropic,100,inf,0,0.007901824610891166,1.0,0.968600766022497
87,ControlAware,10,2,0,0.009272876753718816,1.0,0.9704342444716672
87,ControlAware,10,2,1,0.018495546508577317,1.0,0.9672229913739366
87,ControlAware,10,2,2,0.025974029847987017,1.0,0.9638025958000164
87,ControlAware,10,2,3,0.018285330983565287,1.0,0.9718426501777092
87,ControlAware,10,2,4,0.01309586205517949,1.0,0.9682190833690272
87,ControlAware,10,2,5,0.019285521081751338,1.0,0.9692749710587708
87,ControlAware,10,2,6,0.022338245865410597,1.0,0.9656710517717948
87,ControlAware,10,2,7,0.023760005790107896,1.0,0.9693924969667794
87,ControlAware,10,2,8,0.01801778489540346,1.0,0.9709740587859298
87,ControlAware,10,2,9,0.01715241534260715,1.0,0.9678976476244504
87,ControlAware,10,4,0,0.010774108392990632,1.0,0.9683400893113714
87,ControlAware,10,4,1,0.015138575263193794,1.0,0.9715725643484916
87,ControlAware,10,4,2,0.01890156167485471,1.0,0.966122059628932
87,ControlAware,10,4,3,0.01112921625839807,1.0,0.9680068411711557
87,ControlAware,10,4,4,0.021550587553927646,1.0,0.9660109709732982
87,ControlAware,10,4,5,0.010714074727830406,1.0,0.9695836620577664
87,ControlAware,10,4,6,0.018014850781690146,1.0,0.9707936645482376
87,ControlAware,10,4,7,0.013713647306174019,1.0,0.969819669892229
87,ControlAware,10,4,8,0.01274864178383412,1.0,0.9681871467501691
87,ControlAware,10,4,9,0.012367831296640843,1.0,0.9716051472495052
87,ControlAware,10,8,0,0.009969667640055,1.0,0.9689666829048172
87,ControlAware,10,8,1,0.009032798324351237,1.0,0.9700494661440964
87,ControlAware,10,8,2,0.008829583371857571,1.0,0.969367140884043
87,ControlAware,10,8,3,0.007680149498655974,1.0,0.9693290207003764
87,ControlAware,10,8,4,0.008800030869708228,1.0,0.970017467661612
87,ControlAware,10,8,5,0.011181193178374054,1.0,0.9682411847288244
87,ControlAware,10,8,6,0.00832741675992854,1.0,0.9696293001377558
87,ControlAware,10,8,7,0.010017840382589264,1.0,0.9706630075819797
87,ControlAware,10,8,8,0.009780081790215035,1.0,0.9688498662012376
87,ControlAware,10,8,9,0.00858672686290532,1.0,0.9694980219323306
87,ControlAware,10,inf,0,0.0076171226023438055,1.0,0.9692806119818456
87,ControlAware,30,2,0,0.010713236079201884,1.0,0.968827660116334
87,ControlAware,30,2,1,0.010822799677179702,1.0,0.9682208799069004
87,ControlAware,30,2,2,0.008756657324540465,1.0,0.9702564263464054
87,ControlAware,30,2,3,0.010478518857054685,1.0,0.9705774626543244
87,ControlAware,30,2,4,0.00868569429936853,1.0,0.9693113027816412
87,ControlAware,30,2,5,0.012358507734270585,1.0,0.9703565757607155
87,ControlAware,30,2,6,0.014692162081300439,1.0,0.9668839126199188
87,ControlAware,30,2,7,0.011455982895643238,1.0,0.9684720178506232
87,ControlAware,30,2,8,0.009831052344030384,1.0,0.9698694781118788
87,ControlAware,30,2,9,0.0168018538405244,1.0,0.9698265036929052
87,ControlAware,30,4,0,0.008473499331883407,1.0,0.96994092754821
87,ControlAware,30,4,1,0.007717158433286348,1.0,0.9695241815167572
87,ControlAware,30,4,2,0.009554825451780964,1.0,0.9678922290780024
87,ControlAware,30,4,3,0.010024279916777788,1.0,0.9691414941842154
87,ControlAware,30,4,4,0.009616958028967618,1.0,0.9687972517283376
87,ControlAware,30,4,5,0.007864076658000863,1.0,0.969013730452408
87,ControlAware,30,4,6,0.010006432247151188,1.0,0.9690006300384872
87,ControlAware,30,4,7,0.008208883823570136,1.0,0.9694737461258984
87,ControlAware,30,4,8,0.009607849276702071,1.0,0.9690043151765944
87,ControlAware,30,4,9,0.009245723143105138,1.0,0.9694284551836936
87,ControlAware,30,8,0,0.007595372774434355,1.0,0.969359287299653
87,ControlAware,30,8,1,0.008104187556671371,1.0,0.968910648078744
87,ControlAware,30,8,2,0.008120694456536686,1.0,0.968818482290174
87,ControlAware,30,8,3,0.007994511169583975,1.0,0.9695739986060484
87,ControlAware,30,8,4,0.007858165457233023,1.0,0.969064891811056
87,ControlAware,30,8,5,0.007748468604555783,1.0,0.9695707565704283
87,ControlAware,30,8,6,0.007883452863192968,1.0,0.968946808096598
87,ControlAware,30,8,7,0.007732297721753144,1.0,0.969477699985827
87,ControlAware,30,8,8,0.008115804879289585,1.0,0.96995921229973
87,ControlAware,30,8,9,0.00800141532063837,1.0,0.969010220422899
87,ControlAware,30,inf,0,0.007722461070827791,1.0,0.9691352300532692
87,ControlAware,100,2,0,0.008346791143307912,1.0,0.9686545446589632
87,ControlAware,100,2,1,0.0076811884921135784,1.0,0.969198299119468
87,ControlAware,100,2,2,0.009077083362357895,1.0,0.9684182049777914
87,ControlAware,100,2,3,0.00765261490384226,1.0,0.9692829070512928
87,ControlAware,100,2,4,0.008454793878922976,1.0,0.969010286649794
87,ControlAware,100,2,5,0.008688653393306626,1.0,0.9686215428775448
87,ControlAware,100,2,6,0.007891905094114285,1.0,0.9689590501277404
87,ControlAware,100,2,7,0.0076772950795690985,1.0,0.9690819717214926
87,ControlAware,100,2,8,0.008647047321883648,1.0,0.9693204107527242
87,ControlAware,100,2,9,0.008436928741278986,1.0,0.9687971577811052
87,ControlAware,100,4,0,0.0076079252344592296,1.0,0.9691918679196356
87,ControlAware,100,4,1,0.007548836528112989,1.0,0.969269006973297
87,ControlAware,100,4,2,0.007786737603118478,1.0,0.9691327019636437
87,ControlAware,100,4,3,0.008036683618824297,1.0,0.96892268142603
87,ControlAware,100,4,4,0.007728142793823599,1.0,0.9690717105086114
87,ControlAware,100,4,5,0.007548048244588145,1.0,0.9693448610126516
87,ControlAware,100,4,6,0.007648521372090393,1.0,0.9691893364586937
87,ControlAware,100,4,7,0.007509611615098031,1.0,0.9693047571916086
87,ControlAware,100,4,8,0.0077082926939436745,1.0,0.969123673625066
87,ControlAware,100,4,9,0.007777328914544802,1.0,0.9691080867908338
87,ControlAware,100,8,0,0.007713538243261907,1.0,0.9691628972057406
87,ControlAware,100,8,1,0.007630406221628077,1.0,0.969270304785794
87,ControlAware,100,8,2,0.007730204430379444,1.0,0.9691275539149572
87,ControlAware,100,8,3,0.007777119801451979,1.0,0.969079558565042
87,ControlAware,100,8,4,0.007701829895120924,1.0,0.9691129905331228
87,ControlAware,100,8,5,0.00773281189852311,1.0,0.9691207438870794
87,ControlAware,100,8,6,0.0076280614686883306,1.0,0.9691779695126256
87,ControlAware,100,8,7,0.007722540991195042,1.0,0.9691733225450464
87,ControlAware,100,8,8,0.008045987942723109,1.0,0.9689012354696775
87,ControlAware,100,8,9,0.007615181960320112,1.0,0.9691795101428904
87,ControlAware,100,inf,0,0.007682477819738683,1.0,0.9691595581798113
87,Isotropic,10,2,0,0.010108320779722053,1.0,0.9704285682496564
87,Isotropic,10,2,1,0.022413697789438903,1.0,0.9668671044415788
87,Isotropic,10,2,2,0.03008082485868112,1.0,0.962585280222869
87,Isotropic,10,2,3,0.019834968094405252,1.0,0.9722179709667406
87,Isotropic,10,2,4,0.013307222341233367,1.0,0.96807166453584
87,Isotropic,10,2,5,0.02287362676726309,1.0,0.969092798306424
87,Isotropic,10,2,6,0.02588690158817668,1.0,0.9647378156318926
87,Isotropic,10,2,7,0.026189509649430977,1.0,0.9695227070087762
87,Isotropic,10,2,8,0.02049768523709409,1.0,0.971056567183743
87,Isotropic,10,2,9,0.01939246227005088,1.0,0.9676211395607326
87,Isotropic,10,4,0,0.011693455834600686,1.0,0.9680314856593598
87,Isotropic,10,4,1,0.017673204936244226,1.0,0.9719953303769784
87,Isotropic,10,4,2,0.023208851741546074,1.0,0.9651061224480856
87,Isotropic,10,4,3,0.012758650091091443,1.0,0.9675992697507668
87,Isotropic,10,4,4,0.026418742746000957,1.0,0.9646933335481565
87,Isotropic,10,4,5,0.011688922404236957,1.0,0.969620098017166
87,Isotropic,10,4,6,0.020877678899777,1.0,0.9709922104378262
87,Isotropic,10,4,7,0.01573766622311454,1.0,0.9701148575668216
87,Isotropic,10,4,8,0.014159622165276711,1.0,0.9678238222875514
87,Isotropic,10,4,9,0.012927168352349316,1.0,0.9715844004569186
87,Isotropic,10,8,0,0.010220810397221674,1.0,0.9690159565024916
87,Isotropic,10,8,1,0.010054645538934932,1.0,0.9701903716118092
87,Isotropic,10,8,2,0.009649462222422514,1.0,0.9694159703542248
87,Isotropic,10,8,3,0.007612526684587833,1.0,0.9693597107135544
87,Isotropic,10,8,4,0.009291413284391724,1.0,0.9701070943192108
