seed,epsilon,draw,tracking,feasible,rho,steering_rms,peak_rate
71,2,9,0.10481652300791827,1.0,1.151977464763366,0.949043834830552,512.3310692484898
71,4,0,0.06469783755661201,1.0,0.976929399099644,0.8057698540299353,1.1697804428273009
71,4,1,0.12297527012983905,1.0,0.9789363246561106,0.8109551407038011,1.174909718327438
71,4,2,0.24001354406332445,1.0,0.9757203783749256,0.8159205282136693,1.1747238131768003
71,4,3,0.05163991525439083,1.0,0.9733843728483996,0.8097559758622012,1.172107292043944
71,4,4,0.2857031678933848,1.0,0.9728076150179408,0.8159779669973667,1.156638839469721
71,4,5,0.13646301358234442,1.0,0.9744461025456544,0.8108016765137397,1.1651824774636537
71,4,6,0.21666820320739333,1.0,0.9778244589700616,0.8142469880037734,1.1877856663631037
71,4,7,0.08291567982996846,1.0,0.9737539640927458,0.8097903455416222,1.1721602621923692
71,4,8,0.1914800706384755,1.0,0.9807039012371844,0.8104721161529639,1.180542107535733
71,4,9,0.1777552642874513,1.0,0.9792003456415236,0.8046235400905343,1.1614064536519102
71,8,0,0.05017557591572523,1.0,0.9722190458002828,0.8062279500158251,1.159254290534255
71,8,1,0.07167357806018194,1.0,0.9757532984139838,0.8073448306617108,1.1618044290388885
71,8,2,0.025513782177472702,1.0,0.965992168444552,0.8087813664861808,1.1700779045581984
71,8,3,0.08986400850677499,1.0,0.9792401944633008,0.8069334643480263,1.1733871531412932
71,8,4,0.10615420752185659,1.0,0.9680506217551552,0.8100689299619259,1.165203323443737
71,8,5,0.056745871082319155,1.0,0.9752220341002324,0.8060786631035626,1.1674073139784231
71,8,6,0.06343291635522019,1.0,0.9768518726739008,0.807772993049076,1.1635252214750518
71,8,7,0.029726725640737087,1.0,0.9711931184822664,0.8067057230254264,1.1622567157556782
71,8,8,0.11799907531007554,1.0,0.9736046621271296,0.809301595946345,1.170158954945238
71,8,9,0.060395076292668944,1.0,0.970362530536646,0.8096601338649151,1.1719976125692904
71,inf,0,0.007502105564580644,1.0,0.9686873518859656,0.8081405627141085,1.1696946753684392
72,0.5,0,1.6091877712848701,1.0,0.994485552710168,0.9123344566682128,1.9038053372174613
72,0.5,1,1.2516820561150517,1.0,0.9880723040827551,0.8999392288966106,1.9038053372174613
72,0.5,2,2.7118611557964982,1.0,1.09009297875762,1.0317124502066948,5.104848819442507
72,0.5,3,1.371080480059725,1.0,0.9905949906338468,0.9052420084787935,5.003400796429114
72,0.5,4,0.6915474831056877,1.0,0.9970701364481924,0.8510363989652319,1.7035752343714203
72,0.5,5,1.9438977665266888,1.0,1.2796653955634512,0.9946281315141813,2.9597158420637464
72,0.5,6,0.5425202348007343,0.0,5.308631731143815,6.389673166142676,4628.270943626826
72,0.5,7,1.9941623383516673,1.0,0.993088248798968,0.9678723168955754,8.857294990598458
72,0.5,8,2.886038846159296,1.0,0.9837409294748396,1.090742498646425,5.167586832807232
72,0.5,9,2.4150086670550035,1.0,1.2210294353932678,1.0429123107454592,3.235183995055527
72,1,0,1.1603406960408629,1.0,0.9789330745113184,0.8827712462592261,1.6375167243192943
72,1,1,2.6007502307689654,1.0,0.9896155420124708,1.0269432253538506,6.964319406651451
72,1,2,0.4926236484814621,1.0,0.997769045266872,0.8213593181491672,1.3011017102383282
72,1,3,0.8633345505418705,1.0,0.9868579835797382,0.8655813388344419,1.639175934767455
72,1,4,1.3550213016937187,0.0,3.2318951556152467,3.847608352056219,2534.8954240972053
72,1,5,1.6608250321860967,1.0,1.0000658572965215,0.9250093872950768,3.52811122227825
72,1,6,1.0379321654153364,1.0,1.3019919973624308,1.3930672253772634,741.0122983462618
72,1,7,0.7513329672149144,1.0,0.9871560057435882,0.8550271230556714,1.3937874088002324
72,1,8,0.8487587214965897,1.0,0.987258904477942,0.8634633952960181,1.4414883871385331
72,1,9,0.7046046095051822,1.0,0.9772007060640322,0.8474387123713052,1.4557801592527813
72,2,0,0.5457612140063665,1.0,0.9841566729489456,0.838981671391838,1.6300591094096353
72,2,1,0.3079262286270885,1.0,0.9818540421220976,0.8156956591610277,1.2785328903119029
72,2,2,0.06592125841745644,1.0,0.9760827127363886,0.8060111879731905,1.1552410879952455
72,2,3,0.8648723173992969,1.0,0.9870205064033148,0.8487315042812289,1.9079426636025705
72,2,4,0.12901816305618702,1.0,0.9817535123189348,0.8100807622839227,1.1637781927796835
72,2,5,0.19931468395823468,1.0,0.985359472021652,0.8009916616912177,1.1421253501708963
72,2,6,0.17760441973114371,1.0,0.987016940728946,0.7996279741697765,1.1499682567709304
72,2,7,0.6002540746859161,1.0,0.9866852866154876,0.8304074154437168,1.4244553955898045
72,2,8,0.8019192011645033,1.0,0.9969694055227514,0.8340959670566929,1.313963421038677
72,2,9,0.25262165325380004,1.0,0.9779330753885452,0.8143892745239807,1.2480205145398124
72,4,0,0.3832370637907918,1.0,0.974293831377596,0.8201227080563714,1.231020709719531
72,4,1,0.0623133034490324,1.0,0.9789299324020656,0.8040427401616973,1.1593514355911632
72,4,2,0.042736644817898496,1.0,0.9745400347471396,0.8046413853971534,1.1574897355847422
72,4,3,0.16581799203235403,1.0,0.9703658408760732,0.811424016032872,1.1677820292119243
72,4,4,0.030510022963708933,1.0,0.9669149198162286,0.8070708535165061,1.1608956513827415
72,4,5,0.0757151544718779,1.0,0.9726552177561296,0.806288047759014,1.170780316075655
72,4,6,0.0262813369761873,1.0,0.9751715039523978,0.8067337509044216,1.1668418126908982
72,4,7,0.2653412401211689,1.0,0.9754185489691956,0.8138898395286994,1.1643781070275032
72,4,8,0.0468382484622291,1.0,0.9723355234483476,0.806894032418956,1.1672408398363807
72,4,9,0.07307541644899707,1.0,0.9742595665603936,0.8069157171128997,1.167827125910077
72,8,0,0.0659996955809594,1.0,0.9653391978458188,0.808141531660449,1.1620482675884822
72,8,1,0.11552431168276099,1.0,0.9721855074586708,0.8078714231431428,1.1600114662288596
72,8,2,0.09292135664884103,1.0,0.9663225776321214,0.8099664462066737,1.167900223849062
72,8,3,0.12999253354630544,1.0,0.9652296296008968,0.8107586501085676,1.1647926709406835
72,8,4,0.08001328015812305,1.0,0.9751312044724084,0.8065329450072124,1.1702493266413714
72,8,5,0.08062982768950806,1.0,0.9670648162181844,0.8087639241750078,1.1635519268311618
72,8,6,0.049692691077271825,1.0,0.9736208220297428,0.8046043429091267,1.159860282657756
72,8,7,0.05548871174496526,1.0,0.968113376849268,0.8084385397660826,1.1672494620464753
72,8,8,0.07422119665061412,1.0,0.9739535849643494,0.8073426059087677,1.1676442706694978
72,8,9,0.050177967659141835,1.0,0.9678557285475884,0.8080978952942359,1.1658825046067307
72,inf,0,0.007423978910504251,1.0,0.96818252088748,0.8066652508351655,1.164820396263388
73,0.5,0,0.7058475065041914,1.0,1.3749665136693392,0.8572889723449,1.4276525188708975
73,0.5,1,1.5309223458228385,1.0,0.9952866102826846,0.9319309783851809,11.514305699248505
73,0.5,2,0.6269995626781597,1.0,0.9803686713800648,0.855503610942871,1.4982646672188618
73,0.5,3,1.2015025463373428,1.0,0.9772058647969056,0.8892834130524193,1.4801696248865208
73,0.5,4,0.9279654660266832,1.0,0.9979147513839411,0.857897840887078,1.479911045396529
73,0.5,5,0.20120551151466728,1.0,0.9939513868163076,0.8143474526836241,1.13917157756501
73,0.5,6,1.5060030769362347,1.0,0.9855985917858692,0.9480096868741307,4.7136692866759535
73,0.5,7,1.4987791129356387,1.0,0.9848287666887188,0.9299481400386154,5.842132689108673
73,0.5,8,2.149248740677178,1.0,2.4291432819369314,2.9526133508388392,1625.956005560487
73,0.5,9,1.8827641916990636,1.0,0.982754232131192,0.9649169901990284,4.299049219222472
73,1,0,0.29628446622219906,1.0,0.9990496246908214,0.815932074861486,1.1290611123228107
73,1,1,0.28519636254291225,1.0,0.9823945491104248,0.8144268430196218,1.1184425477774522
73,1,2,0.27861452736384257,1.0,0.989333455490156,0.8117586377682577,1.1198049840586772
73,1,3,0.5713920563332403,1.0,0.9857509176788294,0.8639092728858233,1.7327226870455796
73,1,4,0.2845179191605097,1.0,0.9815314180965364,0.8214387521412415,1.124936091489293
73,1,5,0.4786575134101094,1.0,0.9786518111849836,0.8224672125407041,1.1363500467898973
73,1,6,0.5492338972828795,1.0,0.9892010031628762,0.8518577502875786,1.401910249425927
73,1,7,1.2985905096269077,1.0,0.9925754710426208,0.8853405914356625,1.924221972498568
73,1,8,0.8127647809170455,1.0,0.985652451716544,0.8657731839073357,1.62219324233236
73,1,9,0.09363509561240468,1.0,0.9800592858316994,0.8076705806632511,1.1319452164278865
73,2,0,0.17608938227092913,1.0,0.972805933957034,0.8136619058719755,1.1329287212183017
73,2,1,0.23225404343936273,1.0,0.9803781248139052,0.8142795845439544,1.1253343935363718
73,2,2,0.20664354292095177,1.0,0.979819854855689,0.8108696104554489,1.1310473908129608
73,2,3,0.5516348075377414,1.0,0.9930697493551152,0.8284460297542359,1.2499762787329276
73,2,4,0.0971085150937007,1.0,0.9844292898673108,0.8048948117663559,1.1235116130539151
73,2,5,0.22063282933875147,1.0,0.9823810330742758,0.8144304479659377,1.1270845039169275
73,2,6,0.5591052237244385,1.0,0.9787577107612676,0.8427544608939995,1.5775114482161152
73,2,7,0.3272443624254425,1.0,0.9765694439332346,0.8206792176371066,1.122381538577125
73,2,8,0.48940479076612525,1.0,0.978361825893382,0.8293825259643958,1.186316129252707
73,2,9,0.29090450643422366,1.0,0.9835421124622638,0.8231296566585116,1.289925828725358
73,4,0,0.17186390649116856,1.0,0.9750919287371278,0.8125872307597861,1.1322747707101464
73,4,1,0.030214620868828184,1.0,0.9763420370478928,0.8063901399753113,1.118504018705813
73,4,2,0.08910295396821295,1.0,0.9766523705955292,0.808804346257124,1.1225934722945563
73,4,3,0.041398661863546266,1.0,0.9731741874789984,0.8072511470921667,1.119316589758244
73,4,4,0.3571652762480204,1.0,0.9862766166292332,0.8173430671465042,1.149241979568941
73,4,5,0.43963099565610914,1.0,0.9747901758068171,0.8330455662977249,1.3969979434359234
73,4,6,0.166639867712275,1.0,0.9749026771356096,0.8081296741674396,1.119682047593433
73,4,7,0.20596722304472775,1.0,0.9771282272205772,0.8112753424344595,1.13990241055178
73,4,8,0.1773043627152364,1.0,0.9760695310509224,0.810565580342669,1.1213400259466724
73,4,9,0.05169745824317309,1.0,0.9727452306955768,0.8081920424990406,1.1270284324660675
73,8,0,0.047505882138570744,1.0,0.9705489085053786,0.808286131148297,1.1206294301534725
73,8,1,0.01124346379406692,1.0,0.9657294236614072,0.8081460450715966,1.122434968547683
73,8,2,0.12347627676622787,1.0,0.9716076231281862,0.8123603066334459,1.1436273941866522
73,8,3,0.05884689196967788,1.0,0.9699688174358168,0.8080218765465541,1.1197683538340035
73,8,4,0.040647707519601235,1.0,0.9720123982636076,0.8072413193979383,1.1205163588192957
73,8,5,0.08850502591857094,1.0,0.9654543081339696,0.8105851179294409,1.122906590826292
73,8,6,0.08613705251922844,1.0,0.972685310726086,0.809774815371154,1.1294561185913057
73,8,7,0.24806362272583407,1.0,0.98062720400238,0.8143529136935953,1.1578681076624593
73,8,8,0.054702912962657474,1.0,0.969553932816466,0.8091929167515136,1.1218929204286172
73,8,9,0.043790594613788564,1.0,0.9676573763282076,0.8089420720356143,1.1230273887762598
73,inf,0,0.00739492823672158,1.0,0.9683196640410484,0.8081004812509422,1.1228563278824426
74,0.5,0,1.208577249555643,1.0,0.9888877589590588,0.9055569760603623,1.642263438996204
74,0.5,1,0.8630030416799207,1.0,0.9987099857389048,0.8457505037657153,1.1714557893254194
74,0.5,2,1.1399505171611026,1.0,0.985609140765046,0.8893621471512602,1.4985620443457328
74,0.5,3,2.1842191976372716,1.0,0.9893467495498114,1.0221455219163957,6.9093434431146745
74,0.5,4,2.2164494712317007,1.0,0.9999441929787048,1.0043321514624672,6.406482500856694
74,0.5,5,1.8865367626376013,1.0,0.9943643720196684,0.954424946523126,2.0236843937147966
74,0.5,6,1.114700900315682,1.0,0.983961906973055,0.9103950654776026,1.758609879741127
74,0.5,7,1.8383450572341367,1.0,1.423117101558295,1.0155222318843893,2.9495103336309407
74,0.5,8,2.6356258001919945,1.0,2.361531996249961,2.934841717389361,1490.5379870720965
74,0.5,9,1.0610192455960548,1.0,0.9891682398589384,0.9048597035757068,1.8302158004729931
74,1,0,0.19301825070973777,1.0,0.9897378114525875,0.8184115493697972,1.1584847724364042
74,1,1,1.4265040775376951,1.0,0.995992211105996,0.9072402327682435,5.374518127027765
74,1,2,1.4053309746514235,1.0,0.9841177578714378,0.9171269243891448,1.84235131460586
74,1,3,2.9112897325506966,1.0,0.9891211957652148,1.1110671649177821,6.310829266395078
74,1,4,0.16246410832116448,1.0,0.9848313292544952,0.812479661369404,1.1484271714848249
74,1,5,1.755861498420495,1.0,0.986112612312388,0.9558026457925013,2.402575810809372
74,1,6,1.291660383520862,1.0,0.9874621833078264,0.9224702837423191,1.4930205754473684
74,1,7,0.6719156479287036,1.0,2.3992078029888275,2.814668351463894,1655.2521972361726
74,1,8,0.4963071288687418,1.0,0.988466880681608,0.8433604687152486,1.230908606417029
74,1,9,0.6912492913780571,1.0,1.5831988428525854,1.9310677674564034,1079.3715035315297
74,2,0,0.7339934752222697,0.0,3.4396787497910664,4.505661663132258,2986.271664205168
74,2,1,0.627818711331465,1.0,0.9932571260033828,0.8317043862907666,1.16896239804567
74,2,2,0.804333757070032,1.0,0.9862159707068312,0.8628954902405869,1.3730141291984317
74,2,3,0.02953549212478049,1.0,0.9713460151995432,0.8180329175760848,1.1467315405179677
74,2,4,0.19538393876549012,1.0,0.9746085474644725,0.8255070474336291,1.1724016823430434
74,2,5,0.486073226286022,1.0,0.9895303144762224,0.8345667009690192,1.207600691856406
74,2,6,0.8813441405027727,1.0,0.9891623592162876,0.8779677548464011,1.448609193953947
74,2,7,0.6576044607657814,1.0,1.1712540627752048,0.8676161235429128,1.4532865065791851
