seed,severity,scenario,method,tracking,effort,peak_rate,feasible,switches,rho
12,moderate,constant_22,LTI_10,0.022227323822981558,0.6463033477268468,1.9683969444053109,1.0,0.0,0.9648412361734781
12,strong,all,M4,0.04614871570920279,1.2234855257365538,3.4648554577288113,1.0,0.0,0.9649686690093948
12,strong,all,LTI_1,0.051259783017846686,1.2224453031439355,3.4327126510505246,1.0,0.0,0.964256274188029
12,strong,all,LTI_2,0.053464081335800655,1.2232939091789714,51.27746052197516,1.0,1.3333333333333333,0.9641610623577564
12,strong,all,LTI_3,0.05374109504327738,1.2238896945698192,45.982324649474656,1.0,2.3333333333333335,0.9645930328416291
12,strong,all,LTI_5,0.05486541275799547,1.223986571098309,59.419809263390896,1.0,4.333333333333333,0.9648324240803713
12,strong,all,LTI_8,0.04859209836267612,1.2234331556977713,57.6948599283497,1.0,6.666666666666667,0.9648080957949414
12,strong,all,LTI_10,0.04691970741822554,1.223451465620195,21.364427040615688,1.0,8.0,0.9648412361734781
12,strong,previous_s_curve,M4,0.05767955750644217,1.5071677111769228,3.4648554577288113,1.0,0.0,0.9649686690093948
12,strong,previous_s_curve,LTI_1,0.06926003617386929,1.5040413119560043,3.4327126510505246,1.0,0.0,0.964256274188029
12,strong,previous_s_curve,LTI_2,0.07300538046756354,1.506562773547915,51.27746052197516,1.0,2.0,0.9641610623577564
12,strong,previous_s_curve,LTI_3,0.07250140655775185,1.5079995511296393,45.982324649474656,1.0,4.0,0.9645930328416291
12,strong,previous_s_curve,LTI_5,0.08115160420445046,1.5089179069219145,59.419809263390896,1.0,7.0,0.9648324240803713
12,strong,previous_s_curve,LTI_8,0.06031635276148832,1.5066543011977558,57.6948599283497,1.0,10.0,0.9648080957949414
12,strong,previous_s_curve,LTI_10,0.05990343538749712,1.5072988825559839,21.364427040615688,1.0,12.0,0.9648412361734781
12,strong,shifted_double_lane,M4,0.04579501334414957,1.1865037070798512,3.024013108237249,1.0,0.0,0.9649686690093948
12,strong,shifted_double_lane,LTI_1,0.05039827928326572,1.1872365645848728,3.0249912616084043,1.0,0.0,0.964256274188029
12,strong,shifted_double_lane,LTI_2,0.05331688896682048,1.1871337347021267,22.618764174992698,1.0,2.0,0.9641610623577564
12,strong,shifted_double_lane,LTI_3,0.04854500271752714,1.1860316680685863,43.067798071578956,1.0,3.0,0.9645930328416291
12,strong,shifted_double_lane,LTI_5,0.04890455023940175,1.1864252462922134,32.329959442715115,1.0,6.0,0.9648324240803713
12,strong,shifted_double_lane,LTI_8,0.04923858962999988,1.1865794837100174,14.696617391419863,1.0,10.0,0.9648080957949414
12,strong,shifted_double_lane,LTI_10,0.0464691014543196,1.1865111523371736,11.181168158447077,1.0,12.0,0.9648412361734781
12,strong,constant_22,M4,0.034971576277016615,0.9767851589528866,2.959668502385178,1.0,0.0,0.9649686690093948
12,strong,constant_22,LTI_1,0.03412103359640502,0.9760580328909298,2.957427201273088,1.0,0.0,0.964256274188029
12,strong,constant_22,LTI_2,0.03406997457301794,0.9761852192868721,2.9578206509107834,1.0,0.0,0.9641610623577564
12,strong,constant_22,LTI_3,0.040176875854553123,0.9776378645112319,2.9622653410509896,1.0,0.0,0.9645930328416291
12,strong,constant_22,LTI_5,0.03454008383013419,0.9766165600807993,2.959149782042744,1.0,0.0,0.9648324240803713
12,strong,constant_22,LTI_8,0.03622135269654018,0.9770656821855402,2.9605252823691313,1.0,0.0,0.9648080957949414
12,strong,constant_22,LTI_10,0.03438658541285988,0.9765443619674268,2.958927866873389,1.0,0.0,0.9648412361734781
13,near_linear,all,M4,0.012854565644628635,0.40258747019180796,1.10465339105426,1.0,0.0,0.9667011180672611
13,near_linear,all,LTI_1,0.015348670586025554,0.40226889234910757,1.0983067156783863,1.0,0.0,0.9660629807472537
13,near_linear,all,LTI_2,0.015818663658727198,0.40252096626524,16.934335704831007,1.0,1.3333333333333333,0.9659759728710696
13,near_linear,all,LTI_3,0.015379296617897362,0.4027071622831071,15.149467721067893,1.0,2.3333333333333335,0.966370806760745
13,near_linear,all,LTI_5,0.01613875304101302,0.4027322395620466,19.682626084822292,1.0,4.333333333333333,0.9665818097315647
13,near_linear,all,LTI_8,0.013721250804779886,0.4025660611604752,19.712815819865465,1.0,6.666666666666667,0.9665605159031567
13,near_linear,all,LTI_10,0.013325162197793238,0.4025766042782804,7.099062879349418,1.0,8.0,0.9665895234598597
13,near_linear,previous_s_curve,M4,0.016262143710641566,0.49749410162960994,1.10465339105426,1.0,0.0,0.9667011180672611
13,near_linear,previous_s_curve,LTI_1,0.022098061085816238,0.4965562392462682,1.0983067156783863,1.0,0.0,0.9660629807472537
13,near_linear,previous_s_curve,LTI_2,0.022576044850213747,0.49731202744028163,16.934335704831007,1.0,2.0,0.9659759728710696
13,near_linear,previous_s_curve,LTI_3,0.02113603769796723,0.4977318517187044,15.149467721067893,1.0,4.0,0.966370806760745
13,near_linear,previous_s_curve,LTI_5,0.024336812079935797,0.49800127362621555,19.682626084822292,1.0,7.0,0.9665818097315647
13,near_linear,previous_s_curve,LTI_8,0.017506106880161083,0.4973267045020104,19.712815819865465,1.0,10.0,0.9665605159031567
13,near_linear,previous_s_curve,LTI_10,0.01721346289472664,0.4975344950670568,7.099062879349418,1.0,12.0,0.9665895234598597
13,near_linear,shifted_double_lane,M4,0.011715994190102729,0.3872077122519792,0.9174340362960893,1.0,0.0,0.9667011180672611
13,near_linear,shifted_double_lane,LTI_1,0.01319010015952613,0.3874152013743728,0.9175587106656703,1.0,0.0,0.9660629807472537
13,near_linear,shifted_double_lane,LTI_2,0.014215785954989797,0.3873764836386878,7.5214691976769235,1.0,2.0,0.9659759728710696
13,near_linear,shifted_double_lane,LTI_3,0.01309083425516745,0.38706459929007286,14.162573062628882,1.0,3.0,0.966370806760745
13,near_linear,shifted_double_lane,LTI_5,0.013522297633645491,0.3871878226832942,10.201857858460565,1.0,6.0,0.9665818097315647
13,near_linear,shifted_double_lane,LTI_8,0.01279561142716536,0.38722455016458157,4.6880523167225245,1.0,10.0,0.9665605159031567
13,near_linear,shifted_double_lane,LTI_10,0.012212405705457957,0.3872100391289562,3.6368308856541027,1.0,12.0,0.9665895234598597
13,near_linear,constant_22,M4,0.010585559033141614,0.32306059669383497,0.9552578980524234,1.0,0.0,0.9667011180672611
13,near_linear,constant_22,LTI_1,0.010757850512734287,0.3228352364266819,0.9545016693366621,1.0,0.0,0.9660629807472537
13,near_linear,constant_22,LTI_2,0.010664160170978064,0.32287438771675053,0.9546360235840368,1.0,0.0,0.9659759728710696
13,near_linear,constant_22,LTI_3,0.011911017900557402,0.323325035840544,0.9561589796817089,1.0,0.0,0.966370806760745
13,near_linear,constant_22,LTI_5,0.010557149409457772,0.32300762237663,0.9550871668050667,1.0,0.0,0.9665818097315647
13,near_linear,constant_22,LTI_8,0.010862034107013214,0.32314692881483376,0.9555505129298523,1.0,0.0,0.9665605159031567
13,near_linear,constant_22,LTI_10,0.01054961799319511,0.32298527863882803,0.9550121016858825,1.0,0.0,0.9665895234598597
13,moderate,all,M4,0.026832911140394138,0.8100874795215846,2.217021600578826,1.0,0.0,0.9667011180672611
13,moderate,all,LTI_1,0.03162512448165488,0.8094312141600063,2.204301802338654,1.0,0.0,0.9660629807472537
13,moderate,all,LTI_2,0.03255692118068206,0.809956181438649,34.0155692928607,1.0,1.3333333333333333,0.9659759728710696
13,moderate,all,LTI_3,0.03177843392982371,0.8103365867582151,30.490345140901564,1.0,2.3333333333333335,0.966370806760745
13,moderate,all,LTI_5,0.033228192038372975,0.8103909751394768,39.47568315098563,1.0,4.333333333333333,0.9665818097315647
13,moderate,all,LTI_8,0.028558344786945723,0.8100472459259233,38.95447684526779,1.0,6.666666666666667,0.9665605159031567
13,moderate,all,LTI_10,0.027690961053796353,0.8100651692504627,14.228610583778089,1.0,8.0,0.9665895234598597
13,moderate,previous_s_curve,M4,0.034079449912029235,0.9996302723611321,2.217021600578826,1.0,0.0,0.9667011180672611
13,moderate,previous_s_curve,LTI_1,0.04519308251278027,0.9976839819187987,2.204301802338654,1.0,0.0,0.9660629807472537
13,moderate,previous_s_curve,LTI_2,0.04615570045056008,0.9992519496944657,34.0155692928607,1.0,2.0,0.9659759728710696
13,moderate,previous_s_curve,LTI_3,0.04372147418007744,1.000133070234653,30.490345140901564,1.0,4.0,0.966370806760745
13,moderate,previous_s_curve,LTI_5,0.05003187705206749,1.0006943502759016,39.47568315098563,1.0,7.0,0.9665818097315647
13,moderate,previous_s_curve,LTI_8,0.03645842397668493,0.9992925457369386,38.95447684526779,1.0,10.0,0.9665605159031567
13,moderate,previous_s_curve,LTI_10,0.03585765794154226,0.9997127682709741,14.228610583778089,1.0,12.0,0.9665895234598597
13,moderate,shifted_double_lane,M4,0.024931254523123787,0.7817689440909065,1.8731361435261018,1.0,0.0,0.9667011180672611
13,moderate,shifted_double_lane,LTI_1,0.027842007108667688,0.7822096652071978,1.8735400721213937,1.0,0.0,0.9660629807472537
13,moderate,shifted_double_lane,LTI_2,0.029862806489187325,0.7821359592647885,15.039358410972962,1.0,2.0,0.9659759728710696
13,moderate,shifted_double_lane,LTI_3,0.02748278449732971,0.781469984036761,28.475959852221575,1.0,3.0,0.966370806760745
13,moderate,shifted_double_lane,LTI_5,0.028217075354864948,0.7817237969939697,20.834807184755554,1.0,6.0,0.9665818097315647
13,moderate,shifted_double_lane,LTI_8,0.027175805907303983,0.781808130161566,9.52863517570762,1.0,10.0,0.9665605159031567
13,moderate,shifted_double_lane,LTI_10,0.025794127349693496,0.7817739095195063,7.325892865605687,1.0,12.0,0.9665895234598597
13,moderate,constant_22,M4,0.021488028986029393,0.6488632221127154,1.9125764581821734,1.0,0.0,0.9667011180672611
13,moderate,constant_22,LTI_1,0.021840283823516656,0.6483999953540226,1.9110665934562518,1.0,0.0,0.9660629807472537
13,moderate,constant_22,LTI_2,0.02165225660229879,0.648480635356693,1.91133366000963,1.0,0.0,0.9659759728710696
13,moderate,constant_22,LTI_3,0.024131043112063988,0.6494067060032317,1.9143243205907807,1.0,0.0,0.966370806760745
13,moderate,constant_22,LTI_5,0.02143562370818645,0.6487547781485591,1.9122324324441469,1.0,0.0,0.9665818097315647
13,moderate,constant_22,LTI_8,0.02204080447684827,0.6490410618792652,1.9131581609215913,1.0,0.0,0.9665605159031567
13,moderate,constant_22,LTI_10,0.021421097870153307,0.6487088299609074,1.9120826944705747,1.0,0.0,0.9665895234598597
