design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable,seed,test_seed
held_out,handling_04,handling,M2,0.9517814770935128,True,18,118
held_out,handling_04,handling,M3,0.9586089167718488,True,18,118
held_out,handling_04,handling,M4,0.9545984648479032,True,18,118
held_out,handling_04,handling,M5,0.9545984648479032,True,18,118
held_out,handling_04,handling,LTI_all,0.9569277651890283,True,18,118
held_out,handling_04,handling,LTI_near,0.9573027113229313,True,18,118
held_out,handling_04,handling,physics_M4,0.9545381863139423,True,18,118
held_out,handling_05,handling,M1,0.9562940084978623,True,18,118
held_out,handling_05,handling,M2,0.9522341308799088,True,18,118
held_out,handling_05,handling,M3,0.9588715802144202,True,18,118
held_out,handling_05,handling,M4,0.9549618730138253,True,18,118
held_out,handling_05,handling,M5,0.9549618730138253,True,18,118
held_out,handling_05,handling,LTI_all,0.9572169105744096,True,18,118
held_out,handling_05,handling,LTI_near,0.957584078133465,True,18,118
held_out,handling_05,handling,physics_M4,0.9549016638458978,True,18,118
held_out,handling_06,handling,M1,0.9561087043120321,True,18,118
held_out,handling_06,handling,M2,0.951962168529038,True,18,118
held_out,handling_06,handling,M3,0.9587607446935347,True,18,118
held_out,handling_06,handling,M4,0.9547688158075673,True,18,118
held_out,handling_06,handling,M5,0.9547688158075673,True,18,118
held_out,handling_06,handling,LTI_all,0.9571691870231468,True,18,118
held_out,handling_06,handling,LTI_near,0.9575573982507044,True,18,118
held_out,handling_06,handling,physics_M4,0.9547271615182027,True,18,118
held_out,handling_07,handling,M1,0.955522481377184,True,18,118
held_out,handling_07,handling,M2,0.9510257929608616,True,18,118
held_out,handling_07,handling,M3,0.9584489199569253,True,18,118
held_out,handling_07,handling,M4,0.9541606811027152,True,18,118
held_out,handling_07,handling,M5,0.9541606811027152,True,18,118
held_out,handling_07,handling,LTI_all,0.9570812532995618,True,18,118
held_out,handling_07,handling,LTI_near,0.9575388049798221,True,18,118
held_out,handling_07,handling,physics_M4,0.9541939213375676,True,18,118
held_out,handling_08,handling,M1,0.9555528741037159,True,18,118
held_out,handling_08,handling,M2,0.9511253266413374,True,18,118
held_out,handling_08,handling,M3,0.958378584558268,True,18,118
held_out,handling_08,handling,M4,0.9541626906446097,True,18,118
held_out,handling_08,handling,M5,0.9541626906446097,True,18,118
held_out,handling_08,handling,LTI_all,0.9568493289567784,True,18,118
held_out,handling_08,handling,LTI_near,0.9572735745142629,True,18,118
held_out,handling_08,handling,physics_M4,0.9541512788333077,True,18,118
held_out,handling_09,handling,M1,0.9546992462894867,True,18,118
held_out,handling_09,handling,M2,0.9496777827028288,True,18,118
held_out,handling_09,handling,M3,0.9579212810242346,True,18,118
held_out,handling_09,handling,M4,0.9532697570584514,True,18,118
held_out,handling_09,handling,M5,0.9532697570584514,True,18,118
held_out,handling_09,handling,LTI_all,0.956658784473384,True,18,118
held_out,handling_09,handling,LTI_near,0.9571684118272994,True,18,118
held_out,handling_09,handling,physics_M4,0.9533675770012875,True,18,118
