gamma,low,high,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible,rho
0.5,18,22,strong,M4,0.0463027560812755,0.0007078564311217655,0.04770951721942666,1.1926971190806686,3.145399290501183,1.0,0.9546476597947204
1.0,10,30,moderate,M1,0.04030585999668,0.0009667684886422564,0.04866883166988931,0.8072805921394165,2.3124178011599232,1.0,0.9648022666570182
1.0,10,30,moderate,M2,0.036234227979706476,0.0008149740939889243,0.03727874530469087,0.8072418975528869,2.320566385462456,1.0,0.9673082014989264
1.0,10,30,moderate,M3,0.032481206989683084,0.0010448158197521003,0.03839667472618687,0.8069380510343178,2.32380108288688,1.0,0.967069315766342
1.0,10,30,moderate,M4,0.027164144257081767,0.000615929964132127,0.028263624240088804,0.806937495733726,2.331713219116303,1.0,0.9688779425459846
1.0,10,30,near_linear,M1,0.019553037015780955,0.00046786305945296984,0.023519392980603498,0.40110664593586554,1.1528617829212175,1.0,0.9648022666570182
1.0,10,30,near_linear,M2,0.017623751825424045,0.0003934536832063889,0.018142625969291632,0.40108831832014874,1.1569313590825674,1.0,0.9673082014989264
1.0,10,30,near_linear,M3,0.0155888424405131,0.0005098625181980524,0.018386058267229048,0.400953824988597,1.1585073795801808,1.0,0.967069315766342
1.0,10,30,near_linear,M4,0.0130073060412806,0.0002973619068200347,0.013551017950637682,0.40095268692232294,1.1625082321765183,1.0,0.9688779425459846
1.0,10,30,strong,M1,0.06473188910551424,0.0015402070737339116,0.07865717005186754,1.2241484973309675,3.4863048056223604,1.0,0.9648022666570182
1.0,10,30,strong,M2,0.05813943123725211,0.0013119349356848409,0.05977797132151643,1.2240956368969023,3.4985276795178404,1.0,0.9673082014989264
1.0,10,30,strong,M3,0.05315461966484997,0.0016344581413967486,0.0632046204308476,1.223532320410212,3.5035557155273547,1.0,0.967069315766342
1.0,10,30,strong,M4,0.04492808060582507,0.0010052842311912102,0.046629443809920075,1.2235471611587019,3.515358737310876,1.0,0.9688779425459846
1.0,15,25,moderate,M1,0.034790435492665174,0.0009316229975588875,0.04146650107244806,0.8045194041195678,2.247944120328758,1.0,0.957643233835732
1.0,15,25,moderate,M2,0.03070259932394508,0.0006362520044237703,0.03190029547800295,0.8045592421181732,2.264022952409122,1.0,0.961259464150924
1.0,15,25,moderate,M3,0.0328093321787707,0.0009205936982533789,0.03783365616484875,0.8042814630620511,2.2541788663235267,1.0,0.9598503252325244
1.0,15,25,moderate,M4,0.028309760023214864,0.0004978499284365395,0.029622838446568885,0.8043409591104231,2.2721364373983146,1.0,0.9625921864883108
1.0,15,25,near_linear,M1,0.01679575576699956,0.00045466589205166174,0.019966115301053185,0.40002546902269376,1.1162999212867577,1.0,0.957643233835732
1.0,15,25,near_linear,M2,0.01481110300322537,0.0003072295660012854,0.015376174107783105,0.4000446129782548,1.123966033531052,1.0,0.961259464150924
1.0,15,25,near_linear,M3,0.015790348293468592,0.0004504172112335005,0.018150354393129543,0.39991312071580437,1.1193414830657615,1.0,0.9598503252325244
1.0,15,25,near_linear,M4,0.013585452323039478,0.0002389190859587509,0.014227716935089512,0.39994152233312963,1.127935193238565,1.0,0.9625921864883108
1.0,15,25,strong,M1,0.05605575850598297,0.0014602116060277658,0.06715913014832652,1.2185700965213013,3.408297201773696,1.0,0.957643233835732
1.0,15,25,strong,M2,0.04967437698323139,0.0010265412757899505,0.05166865228521865,1.2186402702022756,3.430790887018601,1.0,0.961259464150924
1.0,15,25,strong,M3,0.05312335493020629,0.0014365448046032433,0.061688590863898905,1.2181759097461704,3.41781699345635,1.0,0.9598503252325244
1.0,15,25,strong,M4,0.04620242159482331,0.0008171256971036515,0.04826101053978082,1.2182787747042112,3.443067377697937,1.0,0.9625921864883108
1.0,18,22,moderate,M1,0.03328400193874279,0.0008824886173634321,0.03873601266853936,0.8084972069452515,2.2403325484431957,1.0,0.9515940210929597
1.0,18,22,moderate,M2,0.029247512963376483,0.0005170065628198571,0.030802003259621107,0.8085797700460242,2.2572759335539456,1.0,0.9565667504106364
1.0,18,22,moderate,M3,0.03298930118862328,0.0008581840129818691,0.03765186168448089,0.8083846583835801,2.24298031519516,1.0,0.9531442759045216
1.0,18,22,moderate,M4,0.028883803144849063,0.00044922930294525763,0.03040844566222884,0.8084751308117166,2.2607533004890894,1.0,0.9573725593866784
