seed,gamma,low,high,severity,method,tracking,steering_rms,peak_steering_rate,feasible,worst_family,rho
21,0.5,10,30,near_linear,M1,0.017553846089331353,0.38643066634145773,1.0883464472165851,1.0,0.019431940781951252,0.9636707080090076
21,0.5,10,30,near_linear,M2,0.01701804235121099,0.38642450848630266,1.090203680493279,1.0,0.017489422790246578,0.9648053494992536
21,0.5,10,30,near_linear,M3,0.013203865689577548,0.3862985024864167,1.0934296898979168,1.0,0.01458775546925995,0.965765142880959
21,0.5,10,30,near_linear,M4,0.012451769910857965,0.3862978739341148,1.0954238638406215,1.0,0.012925737490267103,0.9666144993294212
21,0.5,10,30,strong,M1,0.058011028712625624,1.1773210621891879,3.275807339484752,1.0,0.06466107202917665,0.9636707080090076
21,0.5,10,30,strong,M2,0.056151464460209286,1.177299260856317,3.281361357838246,1.0,0.05745706643774139,0.9648053494992536
21,0.5,10,30,strong,M3,0.04542117593245286,1.176792155167548,3.2909942354501256,1.0,0.050396604067296596,0.965765142880959
21,0.5,10,30,strong,M4,0.04304088612374178,1.1767921000438146,3.2967529956743022,1.0,0.04453090633432864,0.9666144993294212
21,0.5,15,25,moderate,M1,0.030719661310639034,0.7758229841114929,2.0320735570067865,1.0,0.034093906190956695,0.956544448762116
21,0.5,15,25,moderate,M2,0.029569046934730225,0.775832565784809,2.040453676253821,1.0,0.030527817667313915,0.9581874182686262
21,0.5,15,25,moderate,M3,0.02853635631225834,0.7756103888942355,2.037900247035916,1.0,0.03116082142504291,0.9584949194257116
21,0.5,15,25,moderate,M4,0.0272537991641228,0.775626059784121,2.047267455533883,1.0,0.028425325534723177,0.9597805628004727
21,0.5,15,25,near_linear,M1,0.014818062196195029,0.38594527362062253,1.013820380051639,1.0,0.016421154052840062,0.956544448762116
21,0.5,15,25,near_linear,M2,0.014260803017128803,0.3859501623444401,1.0178538258881409,1.0,0.014714822367477256,0.9581874182686262
21,0.5,15,25,near_linear,M3,0.013704797973872992,0.38584475086888664,1.0167383539934056,1.0,0.01494248479450833,0.9584949194257116
21,0.5,15,25,near_linear,M4,0.013075907943500921,0.38585250133280663,1.021195309485208,1.0,0.013647738575352909,0.9597805628004727
21,0.5,15,25,strong,M1,0.04966335701005508,1.1740359463307017,3.0445156399997577,1.0,0.055275790218935965,0.956544448762116
21,0.5,15,25,strong,M2,0.04786424121883919,1.174051409569428,3.057593776552036,1.0,0.04944833048994457,0.9581874182686262
21,0.5,15,25,strong,M3,0.04646012234351498,1.1736849563712135,3.053432017163278,1.0,0.05091189246734567,0.9584949194257116
21,0.5,15,25,strong,M4,0.04449506253592806,1.1737105755713526,3.067870138906292,1.0,0.04633366754134991,0.9597805628004727
21,0.5,18,22,moderate,M1,0.02932896279589927,0.7806034967443177,2.0378171927555866,1.0,0.032218365280100934,0.950665095754184
21,0.5,18,22,moderate,M2,0.02818787217272369,0.7806258513176884,2.0468545339934616,1.0,0.029452292975673654,0.9530151572446408
21,0.5,18,22,moderate,M3,0.02902664150613611,0.7805015332483324,2.0403420736984845,1.0,0.031541738996975204,0.9520647388345826
21,0.5,18,22,moderate,M4,0.027867189535096613,0.7805263028146173,2.049760122878556,1.0,0.029150376531578686,0.9540283332962886
21,0.5,18,22,near_linear,M1,0.014122392038068723,0.3884568380488379,1.0172837344705752,1.0,0.015493581970254595,0.950665095754184
21,0.5,18,22,near_linear,M2,0.01356223662151836,0.3884678573835515,1.0216598014706204,1.0,0.014175540487793865,0.9530151572446408
21,0.5,18,22,near_linear,M3,0.013969766608990198,0.3884076903815548,1.0185197047616932,1.0,0.015155468586229391,0.9520647388345826
21,0.5,18,22,near_linear,M4,0.013399153033079888,0.38841986788494753,1.023103593415282,1.0,0.014024556207837446,0.9540283332962886
21,0.5,18,22,strong,M1,0.047435497580469534,1.1806143995202178,3.051858382402276,1.0,0.0522561282188657,0.950665095754184
21,0.5,18,22,strong,M2,0.045685669073674925,1.1806500980120895,3.066416549178888,1.0,0.047691112162046564,0.9530151572446408
21,0.5,18,22,strong,M3,0.04697773679390598,1.1804512995520042,3.0556486772888074,1.0,0.051231386018528585,0.9520647388345826
21,0.5,18,22,strong,M4,0.04520616198025755,1.1804908901932487,3.070829778148537,1.0,0.04722538367088929,0.9540283332962886
21,1.0,10,30,moderate,M1,0.03985781534696939,0.7984987496323093,2.286490866252294,1.0,0.04777566055982179,0.9645379737746792
21,1.0,10,30,moderate,M2,0.03531616957037177,0.7984215504945666,2.294799661359268,1.0,0.036643486408765115,0.9671299478671288
21,1.0,10,30,moderate,M3,0.03203620205981285,0.7981607148025253,2.2977865587831907,1.0,0.03749744263521159,0.9669535067020802
21,1.0,10,30,moderate,M4,0.026305004950502326,0.7981253714434687,2.305911763212868,1.0,0.02765242236952948,0.9687278049377432
21,1.0,10,30,near_linear,M1,0.0193351102459866,0.3968044995240716,1.1401886917736264,1.0,0.023083256187044085,0.9645379737746792
21,1.0,10,30,near_linear,M2,0.017182681977770814,0.39676826655215136,1.144370377598945,1.0,0.01788924095714368,0.9671299478671288
21,1.0,10,30,near_linear,M3,0.015374975970489547,0.396653630960349,1.1458149285569013,1.0,0.01794715186562096,0.9669535067020802
21,1.0,10,30,near_linear,M4,0.012595980537461186,0.3966362941102224,1.1499086535538905,1.0,0.013264547017709632,0.9687278049377432
21,1.0,10,30,strong,M1,0.06400413333479817,1.2104906864584666,3.445677577563961,1.0,0.07724122781308924,0.9645379737746792
21,1.0,10,30,strong,M2,0.05664258927161558,1.2103729821620088,3.45810972755774,1.0,0.058415283126545224,0.9671299478671288
21,1.0,10,30,strong,M3,0.05241889171912655,1.209883196479472,3.4627749757831108,1.0,0.06177530930680845,0.9669535067020802
21,1.0,10,30,strong,M4,0.04351794315457217,1.2098395360466558,3.4748421278164727,1.0,0.04557328230385996,0.9687278049377432
21,1.0,15,25,moderate,M1,0.034331204553745186,0.7960699924862109,2.207131556921817,1.0,0.04056524609123175,0.9570044801310802
21,1.0,15,25,moderate,M2,0.029892060241195912,0.7960808343648766,2.223790240474749,1.0,0.0313276093922754,0.96092772003055
21,1.0,15,25,moderate,M3,0.0323660745536206,0.7958343454277791,2.2132065268584262,1.0,0.036990539906966255,0.9595164609726852
21,1.0,15,25,moderate,M4,0.027558996258089986,0.7958670889894859,2.231770776922784,1.0,0.029260654080970897,0.9623054354654826
21,1.0,15,25,near_linear,M1,0.016573405160045587,0.39587673522805933,1.0967492152516711,1.0,0.019525074480795206,0.9570044801310802
21,1.0,15,25,near_linear,M2,0.01442101636563405,0.3958823663031128,1.104714147056625,1.0,0.01509662435437487,0.96092772003055
21,1.0,15,25,near_linear,M3,0.015576858345648684,0.3957654309465608,1.0997145959981494,1.0,0.01773885802169345,0.9595164609726852
21,1.0,15,25,near_linear,M4,0.013225004942329026,0.3957813918609937,1.1086212848982269,1.0,0.0140563348525744,0.9623054354654826
21,1.0,15,25,strong,M1,0.05531389034498661,1.20548205445056,3.336970882318138,1.0,0.06574242964416617,0.9570044801310802
