seed,method,selected_k,train_ari,test_ari,candidate_k,silhouette,minimum_size,admissible
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,4,0.4691673789033593,28,True
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,5,0.4102775110627777,28,True
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,6,0.3746985514590102,25,True
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,7,0.3889541371448579,16,True
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,8,0.3735302980645979,16,True
125,FixedK3,3,0.9668581972691984,1.0,3,0.5228446854453023,58,True
125,LearnedKParameter,3,0.9668581972691984,1.0,2,0.4744473166868908,66,True
125,LearnedKParameter,3,0.9668581972691984,1.0,3,0.5228446854453023,58,True
125,LearnedKParameter,3,0.9668581972691984,1.0,4,0.457426068495648,26,True
125,LearnedKParameter,3,0.9668581972691984,1.0,5,0.3852214238618069,20,True
125,LearnedKParameter,3,0.9668581972691984,1.0,6,0.3392840245341332,21,True
125,LearnedKParameter,3,0.9668581972691984,1.0,7,0.3174642590236415,12,True
125,LearnedKParameter,3,0.9668581972691984,1.0,8,0.286036894257179,13,True
125,LearnedKControl,3,0.9507015122471382,1.0,2,0.5106558665273007,69,True
125,LearnedKControl,3,0.9507015122471382,1.0,3,0.5648239897946064,59,True
125,LearnedKControl,3,0.9507015122471382,1.0,4,0.5057844374680687,29,True
125,LearnedKControl,3,0.9507015122471382,1.0,5,0.4069487733572486,29,True
125,LearnedKControl,3,0.9507015122471382,1.0,6,0.3907871061505207,16,True
125,LearnedKControl,3,0.9507015122471382,1.0,7,0.3778979264629741,14,True
125,LearnedKControl,3,0.9507015122471382,1.0,8,0.3752395484023748,11,True
