phase,seed,regime,method,models,tracking,parameter_error,feasible,rho
development,132,short-data,UncertainSoft,1,0.012031127382614387,0.1381380236910899,1.0,0.967580085027672
development,133,high-noise,Global,1,0.01225766778472116,0.13072207352636353,1.0,0.9667954243095332
development,133,high-noise,Local,30,0.007097414576371008,0.09780017973540682,1.0,0.969032914429887
development,133,high-noise,OracleFamily,3,0.007636910149600697,0.05043127351908485,1.0,0.9682565271340816
development,133,high-noise,PointK,3,0.008123332280082229,0.09217021898765942,1.0,0.9681776182205218
development,133,high-noise,UncertainHard,2,0.0076284321061505685,0.07866547029486479,1.0,0.96785999338865
development,133,high-noise,UncertainSoft,2,0.00760585807249345,0.07875631114378237,1.0,0.9678599061514772
development,133,short-data,Global,1,0.012158278170918035,0.13660297290964354,1.0,0.9674191484463516
development,133,short-data,Local,30,0.011405253826232682,0.1804933277586429,1.0,0.9712392782615978
development,133,short-data,OracleFamily,3,0.0074218403210794944,0.05016733939134769,1.0,0.9690028761769776
development,133,short-data,PointK,2,0.012677341762371556,0.16193625036676162,1.0,0.9693360693935884
development,133,short-data,UncertainHard,1,0.01235163621560734,0.13569720276488526,1.0,0.9672698114508004
development,133,short-data,UncertainSoft,1,0.01235163621560734,0.13569720276488526,1.0,0.9672698114508004
development,134,high-noise,Global,1,0.011698724878461048,0.1227674000643591,1.0,0.9664889379567672
development,134,high-noise,Local,30,0.006950795110525362,0.08352215729983983,1.0,0.9686741999805436
development,134,high-noise,OracleFamily,3,0.007607836083924768,0.04199192572058235,1.0,0.9680132181235024
development,134,high-noise,PointK,2,0.009360244058875505,0.08616135249901384,1.0,0.9678356183924578
development,134,high-noise,UncertainHard,2,0.007599559791359137,0.06997117645877857,1.0,0.9676482885509372
development,134,high-noise,UncertainSoft,2,0.007587298173927596,0.06995749489317384,1.0,0.9676482885509368
development,134,short-data,Global,1,0.011535946498862762,0.13412362431230523,1.0,0.967460098049122
development,134,short-data,Local,30,0.013007635667103204,0.2086893155877362,1.0,0.9704786559200288
development,134,short-data,OracleFamily,3,0.0074324598412704715,0.05357251636105996,1.0,0.9688078383015352
development,134,short-data,PointK,2,0.010147720997926395,0.15120392438987165,1.0,0.9688062822756712
development,134,short-data,UncertainHard,1,0.011687690752337833,0.1328346554334817,1.0,0.9673362798063662
development,134,short-data,UncertainSoft,1,0.011687690752337833,0.1328346554334817,1.0,0.9673362798063662
development,135,high-noise,Global,1,0.011642103554568085,0.12182068070750782,1.0,0.9670695401372504
development,135,high-noise,Local,30,0.007066925354379789,0.08750105987549057,1.0,0.968179963222932
development,135,high-noise,OracleFamily,3,0.007446681306482747,0.04466602710793774,1.0,0.968532635544066
development,135,high-noise,PointK,2,0.009464900737505577,0.09095607080971377,1.0,0.9682229283728976
development,135,high-noise,UncertainHard,2,0.007690697040636392,0.07308081826909264,1.0,0.968111788067471
development,135,high-noise,UncertainSoft,2,0.007611268351190987,0.07215089064614569,1.0,0.9681103611542192
development,135,short-data,Global,1,0.011715586312308722,0.13052059070616892,1.0,0.9671969922790842
development,135,short-data,Local,30,0.014687271956446958,0.21883816854763885,1.0,0.9718874681193308
development,135,short-data,OracleFamily,3,0.007469942362152966,0.06964984401180793,1.0,0.968448662904394
development,135,short-data,PointK,7,0.012783279981866616,0.19923609771442966,1.0,0.970136413223466
development,135,short-data,UncertainHard,1,0.01195977792671609,0.1320233502138278,1.0,0.9670235803193792
development,135,short-data,UncertainSoft,1,0.01195977792671609,0.1320233502138278,1.0,0.9670235803193792
