seed,mechanism,cohort,epsilon,draw,tracking,feasible,rho
82,Tight-10,10,2,6,0.025302450124205064,1.0,0.9659083455156454
82,Tight-10,10,2,7,0.026556486498982432,1.0,0.9642900005489464
82,Tight-10,10,2,8,0.020174098938116555,1.0,0.9711026877973782
82,Tight-10,10,2,9,0.020072802963936858,1.0,0.9714046413858062
82,Tight-10,10,4,0,0.021487772812625976,1.0,0.9667009536834954
82,Tight-10,10,4,1,0.0224452616485241,1.0,0.9714296367785468
82,Tight-10,10,4,2,0.015089236684685455,1.0,0.9663601562282824
82,Tight-10,10,4,3,0.012208468102975325,1.0,0.9666377932895324
82,Tight-10,10,4,4,0.015742987429957025,1.0,0.9714481530308496
82,Tight-10,10,4,5,0.009596655778257539,1.0,0.9691665856187608
82,Tight-10,10,4,6,0.016771541938104685,1.0,0.9664253770130968
82,Tight-10,10,4,7,0.014597610556693992,1.0,0.9663873555803963
82,Tight-10,10,4,8,0.020434031727909273,1.0,0.9621316382109448
82,Tight-10,10,4,9,0.00874400692971734,1.0,0.969260083853142
82,Tight-10,10,8,0,0.012735607525693091,1.0,0.96678113281129
82,Tight-10,10,8,1,0.011981122208348962,1.0,0.9672892725883572
82,Tight-10,10,8,2,0.009200596251486335,1.0,0.9683843804283198
82,Tight-10,10,8,3,0.008847886769621208,1.0,0.968118162476847
82,Tight-10,10,8,4,0.010514928676361994,1.0,0.9690026541708237
82,Tight-10,10,8,5,0.0088328844192602,1.0,0.9695145553291484
82,Tight-10,10,8,6,0.012336587367259781,1.0,0.9673345502944573
82,Tight-10,10,8,7,0.00810967112415082,1.0,0.9686400981840526
82,Tight-10,10,8,8,0.012765372882515846,1.0,0.9674276179117748
82,Tight-10,10,8,9,0.00934682750128877,1.0,0.9676904332358652
82,Tight-10,10,inf,0,0.008140388689589105,1.0,0.9681587518133944
82,Tight-100,100,2,0,0.00787825060803036,1.0,0.9685477437243027
82,Tight-100,100,2,1,0.007578865751058373,1.0,0.9689464598898128
82,Tight-100,100,2,2,0.007896564473461792,1.0,0.9683393184545964
82,Tight-100,100,2,3,0.007876911638139758,1.0,0.968781245153802
82,Tight-100,100,2,4,0.0075100117355515065,1.0,0.9689708575367963
82,Tight-100,100,2,5,0.009305893175984174,1.0,0.9680801911082726
82,Tight-100,100,2,6,0.00889419703654951,1.0,0.9680122456085968
82,Tight-100,100,2,7,0.008174453307631325,1.0,0.9683120420905438
82,Tight-100,100,2,8,0.00909453996535916,1.0,0.9683831919501285
82,Tight-100,100,2,9,0.008590705617567869,1.0,0.968255354032354
82,Tight-100,100,4,0,0.007858634896504178,1.0,0.9684359014961836
82,Tight-100,100,4,1,0.007953905987794453,1.0,0.96831141771671
82,Tight-100,100,4,2,0.008190186080289309,1.0,0.9682830585217654
82,Tight-100,100,4,3,0.007736510399256296,1.0,0.9685262969072692
82,Tight-100,100,4,4,0.007665940116748071,1.0,0.968629121907781
82,Tight-100,100,4,5,0.008124423028691602,1.0,0.9682002369924706
82,Tight-100,100,4,6,0.007903687576248946,1.0,0.9684993329320122
82,Tight-100,100,4,7,0.007730316282741844,1.0,0.9686347569943368
82,Tight-100,100,4,8,0.008207829226661929,1.0,0.968092596372545
82,Tight-100,100,4,9,0.007824273764189699,1.0,0.968491221312658
82,Tight-100,100,8,0,0.007728562651103443,1.0,0.968495357743517
82,Tight-100,100,8,1,0.00797179487597927,1.0,0.9682641950673848
82,Tight-100,100,8,2,0.007584819170108611,1.0,0.9686198431543082
82,Tight-100,100,8,3,0.007586904343358014,1.0,0.9686763731353748
82,Tight-100,100,8,4,0.007926945119475011,1.0,0.9682970082048012
82,Tight-100,100,8,5,0.008059828408655276,1.0,0.968226314756897
82,Tight-100,100,8,6,0.007896990291921818,1.0,0.968332560549152
82,Tight-100,100,8,7,0.008002430235269848,1.0,0.9682779664352652
82,Tight-100,100,8,8,0.007855868819867958,1.0,0.9683784014717568
82,Tight-100,100,8,9,0.007719672593548789,1.0,0.9685053812789146
82,Tight-100,100,inf,0,0.007826329773400248,1.0,0.9683834436824916
82,Tight-30,30,2,0,0.015690143880043472,1.0,0.9669234304627162
82,Tight-30,30,2,1,0.009043591429467326,1.0,0.967451762686723
82,Tight-30,30,2,2,0.010807633525568423,1.0,0.966884015270909
82,Tight-30,30,2,3,0.01020049822274762,1.0,0.9707096323005956
82,Tight-30,30,2,4,0.012974406349029858,1.0,0.9674151820837924
82,Tight-30,30,2,5,0.011810426412766637,1.0,0.9664611351376474
82,Tight-30,30,2,6,0.009336082208610496,1.0,0.968583324837984
82,Tight-30,30,2,7,0.009662755647469722,1.0,0.9678198127101572
82,Tight-30,30,2,8,0.008532432330533286,1.0,0.9684481478678344
82,Tight-30,30,2,9,0.01270531032299408,1.0,0.9659012346595248
82,Tight-30,30,4,0,0.008445502572030838,1.0,0.969450801264996
82,Tight-30,30,4,1,0.009648472044822979,1.0,0.967490494044184
82,Tight-30,30,4,2,0.009265864148405255,1.0,0.9687201979711728
82,Tight-30,30,4,3,0.011422992500432006,1.0,0.9687286479087855
82,Tight-30,30,4,4,0.008073051706625438,1.0,0.9687376382480168
82,Tight-30,30,4,5,0.008563678109296997,1.0,0.9692873193109602
82,Tight-30,30,4,6,0.008595818045947485,1.0,0.9679421326351336
82,Tight-30,30,4,7,0.008931613698823258,1.0,0.969305961858702
82,Tight-30,30,4,8,0.008194654121959636,1.0,0.9686772885114056
82,Tight-30,30,4,9,0.008575277699265377,1.0,0.9692414336076176
82,Tight-30,30,8,0,0.007562531324276481,1.0,0.9688938646770338
82,Tight-30,30,8,1,0.00854950854918446,1.0,0.968170267228614
82,Tight-30,30,8,2,0.008845679916174189,1.0,0.967824821364509
82,Tight-30,30,8,3,0.008119773373082645,1.0,0.968434754795408
82,Tight-30,30,8,4,0.008301072555419715,1.0,0.9681454889893106
82,Tight-30,30,8,5,0.008850362035483311,1.0,0.9679998779418794
82,Tight-30,30,8,6,0.00832996826825968,1.0,0.9682936434875457
82,Tight-30,30,8,7,0.007724733019393868,1.0,0.968737119673166
82,Tight-30,30,8,8,0.007851440996023189,1.0,0.968440963694478
82,Tight-30,30,8,9,0.008735997439899085,1.0,0.9679814739092044
82,Tight-30,30,inf,0,0.00796335996716475,1.0,0.968289765544924
83,Broad-10,10,2,0,0.1656741382961239,1.0,0.973674384889722
83,Broad-10,10,2,1,0.09838517847068451,1.0,0.9756148231226004
83,Broad-10,10,2,2,0.3830063320113846,1.0,0.9894579684385104
83,Broad-10,10,2,3,0.25385438575900204,1.0,0.9903131277577428
83,Broad-10,10,2,4,0.30410520991303797,1.0,0.9833006779413588
83,Broad-10,10,2,5,0.31143068656744316,1.0,0.9952170607816628
83,Broad-10,10,2,6,0.6976108945115977,1.0,0.9853324794648918
83,Broad-10,10,2,7,0.6905237614558932,1.0,0.992145189401316
83,Broad-10,10,2,8,0.25822816818276423,1.0,0.9750564950236724
83,Broad-10,10,2,9,0.30813902249532676,1.0,0.9784265449533948
