coverage,episode_duration,noise,baseline,metric,reduction_pct,mean_difference,ci_low,ci_high,positive_pairs
restricted,2,clean,Local,yaw_prediction,-205.2154961279342,-0.09460326431181708,-0.10211577771353399,-0.0876170685096307,0
restricted,2,clean,Global,tracking,36.34256233124445,0.004256911035407972,0.003908042905025726,0.004612282313995028,10
restricted,2,clean,Global,worst_family,42.18008688336731,0.005702310327493844,0.004983452496539356,0.006325605071274955,10
restricted,2,clean,Global,yaw_prediction,60.821102593139805,0.21842614900642304,0.19949250724398,0.2386735501451521,10
restricted,2,noisy,Local,tracking,-11.615106551746727,-0.0007760258804188125,-0.0008356756672456305,-0.0007135774141538595,0
restricted,2,noisy,Local,worst_family,-14.57761664505713,-0.0009945922532485975,-0.0011335375845960027,-0.0008581105483050792,0
restricted,2,noisy,Local,yaw_prediction,-198.6823004972562,-0.09357352308556485,-0.10130612665982677,-0.08659148802300291,0
restricted,2,noisy,Global,tracking,36.33335258528602,0.004255685026969228,0.0039079975632982855,0.004610812637897389,10
restricted,2,noisy,Global,worst_family,42.16571149125127,0.005699442373840827,0.004979079477723993,0.006327159348558098,10
restricted,2,noisy,Global,yaw_prediction,60.82155861857612,0.21838041122103152,0.19957777432367543,0.23843757084683126,10
restricted,8,clean,Local,tracking,-11.82104959810502,-0.0007882948557826083,-0.0008526151537254118,-0.0007201778934038649,0
restricted,8,clean,Local,worst_family,-14.844139669010529,-0.001010965733854312,-0.001159410248767895,-0.0008630088883263329,0
restricted,8,clean,Local,yaw_prediction,-204.927473720224,-0.09462710254247134,-0.10221653654568179,-0.08747644928471707,0
restricted,8,clean,Global,tracking,36.70195341340437,0.004323695385837824,0.003965976221069077,0.004688123416980582,10
restricted,8,clean,Global,worst_family,43.06432223881731,0.005915934596635469,0.005169730969102694,0.0065611596920257245,10
restricted,8,clean,Global,yaw_prediction,60.94119720138009,0.21968680160544224,0.20066645797905952,0.2400426888254916,10
restricted,8,noisy,Local,tracking,-11.808916249358246,-0.0007875921742167069,-0.0008517575912502162,-0.000720255062876346,0
restricted,8,noisy,Local,worst_family,-14.949357788157116,-0.0010175135176468298,-0.0011642060042926874,-0.0008725425263012684,0
restricted,8,noisy,Local,yaw_prediction,-204.4936278311287,-0.0946051630916242,-0.10238197155139939,-0.08727561064774231,0
restricted,8,noisy,Global,tracking,36.69356858868826,0.004322250221074754,0.003964817737600125,0.004686905962351741,10
restricted,8,noisy,Global,worst_family,43.035008463077276,0.00591068828245841,0.005164559020984982,0.006556232948743184,10
restricted,8,noisy,Global,yaw_prediction,60.921219073786766,0.21960430301678008,0.20053926174263376,0.23998276327559548,10
