seed,budget,method,tracking,q95,feasible
200,0.75,Fed50,0.011094268642701435,0.02027736374828358,1.0
200,0.75,Local,0.013978093734150638,0.024281635452153907,1.0
200,1.25,Central,0.007725893439807682,0.011415214323749595,1.0
200,1.25,ExactIndividual,0.006721911293807678,0.009281977648924399,1.0
200,1.25,Fed100,0.007725893476086565,0.011415214467954665,1.0
200,1.25,Fed20,0.007694474703046218,0.011263650946131173,1.0
200,1.25,Fed50,0.0077183713348253705,0.01130654301551224,1.0
200,1.25,Local,0.007835079404108228,0.011753845348334013,1.0
201,0.75,Central,0.01098826990829621,0.0217685047598358,1.0
201,0.75,ExactIndividual,0.00663096845109515,0.009278860439178525,1.0
201,0.75,Fed100,0.010988269920970021,0.021768504753199868,1.0
201,0.75,Fed20,0.009862483372082637,0.016993283909499102,1.0
201,0.75,Fed50,0.010988269920970021,0.021768504753199868,1.0
201,0.75,Local,0.014519780233299478,0.0275652259777895,1.0
201,1.25,Central,0.007742701531999252,0.011519668814139674,1.0
201,1.25,ExactIndividual,0.00663096845109515,0.009278860439178525,1.0
201,1.25,Fed100,0.0077427014777810095,0.011519669205546819,1.0
201,1.25,Fed20,0.007742511404140547,0.01146500584325824,1.0
201,1.25,Fed50,0.0077427014777810095,0.011519669205546819,1.0
201,1.25,Local,0.007768508331970076,0.01164667239834497,1.0
202,0.75,Central,0.01129044690267431,0.025652614320639876,1.0
202,0.75,ExactIndividual,0.006655818636523483,0.009234490113170185,1.0
202,0.75,Fed100,0.011290446879659334,0.025652613928243848,1.0
202,0.75,Fed20,0.011290446879659334,0.025652613928243848,1.0
202,0.75,Fed50,0.011290446879659334,0.025652613928243848,1.0
202,0.75,Local,0.012209551303256024,0.023598859263534614,1.0
202,1.25,Central,0.007044252275858891,0.009671940919756074,1.0
202,1.25,ExactIndividual,0.006655818636523483,0.009234490113170185,1.0
202,1.25,Fed100,0.007044252301751383,0.00967194092841048,1.0
202,1.25,Fed20,0.007044252301751383,0.00967194092841048,1.0
202,1.25,Fed50,0.007044252301751383,0.00967194092841048,1.0
202,1.25,Local,0.007044251855740409,0.00992562075636008,1.0
203,0.75,Central,0.010280017689014813,0.02004946246831992,1.0
203,0.75,ExactIndividual,0.00668889208502885,0.009296250816896076,1.0
203,0.75,Fed100,0.010280017683785432,0.020049462467177346,1.0
203,0.75,Fed20,0.01024517448744887,0.019841037097704642,1.0
203,0.75,Fed50,0.01024517448744887,0.019841037097704642,1.0
203,0.75,Local,0.01424590979254953,0.0282946390382442,1.0
203,1.25,Central,0.006893941843488329,0.00937509915366617,1.0
203,1.25,ExactIndividual,0.00668889208502885,0.009296250816896076,1.0
203,1.25,Fed100,0.006893941852902363,0.009375099548294675,1.0
203,1.25,Fed20,0.006931589546415023,0.009354787786518609,1.0
203,1.25,Fed50,0.006931589546415023,0.009354787786518609,1.0
203,1.25,Local,0.00702805139208534,0.009891981022832064,1.0
204,0.75,Central,0.00865494368445588,0.013662051763504126,1.0
204,0.75,ExactIndividual,0.006710707427510367,0.00942783316240498,1.0
204,0.75,Fed100,0.008654943682751092,0.01366205174470881,1.0
204,0.75,Fed20,0.008654943682751092,0.01366205174470881,1.0
204,0.75,Fed50,0.008654943682751092,0.01366205174470881,1.0
204,0.75,Local,0.011944434396824015,0.024948157673523274,1.0
204,1.25,Central,0.007693077031994297,0.013090979093045402,1.0
204,1.25,ExactIndividual,0.006710707427510367,0.00942783316240498,1.0
204,1.25,Fed100,0.0076930771689048124,0.013090979206137858,1.0
204,1.25,Fed20,0.0076930771689048124,0.013090979206137858,1.0
204,1.25,Fed50,0.0076930771689048124,0.013090979206137858,1.0
204,1.25,Local,0.007392662243288329,0.011622250404399646,1.0
205,0.75,Central,0.010231842109377658,0.019279480610525066,1.0
205,0.75,ExactIndividual,0.006555730091245358,0.009052194695363624,1.0
205,0.75,Fed100,0.010231842133381583,0.019279480454431043,1.0
205,0.75,Fed20,0.010587327111750219,0.021076221786942666,1.0
205,0.75,Fed50,0.010231842133381583,0.019279480454431043,1.0
205,0.75,Local,0.012098174065042405,0.026843794642461616,1.0
205,1.25,Central,0.007423925998938689,0.01095175226173647,1.0
205,1.25,ExactIndividual,0.006555730091245358,0.009052194695363624,1.0
205,1.25,Fed100,0.007423926026625565,0.010951752205125214,1.0
205,1.25,Fed20,0.007355394970212682,0.010748869823835425,1.0
205,1.25,Fed50,0.007423926026625565,0.010951752205125214,1.0
205,1.25,Local,0.007343190409382358,0.01101078419267827,1.0
