family,speed_mps,stable_continuous,max_pole_real_per_s,pole_imag_magnitude_per_s,discrete_spectral_radius,controllability_rank,controllability_sigma_min,yaw_rate_dc_gain_per_s,beta_dc_gain,understeer_coefficient_s2_per_m,a_norm,b_norm
heavy,10.9,True,-9.34216194654966,2.7347883611683015,0.910809404356434,2,3.2051335369353557,3.5203679150283644,0.1621527657839985,0.002493622448979592,1.2902909970479175,0.324322376659719
heavy,11.0,True,-9.257233201581027,2.7400367908839898,0.9115832719241016,2,3.2435093493534652,3.5464098973786418,0.1553425406753551,0.002493622448979592,1.2913851265601257,0.3243995301872245
heavy,11.1,True,-9.173834704269485,2.745134377948491,0.9123438357799599,2,3.2817767063147376,3.572303001850661,0.1484943888542374,0.002493622448979592,1.2924604644883626,0.32447578217309203
heavy,11.2,True,-9.091925465838509,2.750086958654024,0.913091435802664,2,3.3199376744688536,3.5980467746080707,0.14160884091493225,0.002493622448979592,1.2935174904537117,0.3245511444035962
heavy,11.3,True,-9.011465948441709,2.7549000840402855,0.9138264004001366,2,3.3579942446563575,3.6236407793666325,0.1346864272724951,0.002493622448979592,1.2945566679060567,0.324625628659206
heavy,11.4,True,-8.932418001525555,2.7595790368138067,0.9145490469890475,2,3.3959483351445545,3.6490845973076573,0.12772767807966462,0.002493622448979592,1.2955784447993663,0.32469924669796035
heavy,11.5,True,-8.854744801512288,2.764128847082774,0.9152596824504585,2,3.433801794702375,3.6743778269881946,0.12073312314473889,0.002493622448979592,1.2965832542334481,0.32477201024052876
heavy,11.6,True,-8.7784107946027,2.768554307003194,0.9159586035630084,2,3.471556405523544,3.6995200842480434,0.11370329185041368,0.002493622448979592,1.2975715150641,0.32484393095681274
heavy,11.7,True,-8.703381642512078,2.7728599844234783,0.9166460974149154,2,3.5092138860063113,3.724511002113655,0.10663871307360547,0.002493622448979592,1.2985436324834565,0.32491502045395165
heavy,11.8,True,-8.629624170965364,2.7770502356065823,0.9173224417959955,2,3.5467758933981797,3.749350230699006,0.09953991510626875,0.002493622448979592,1.299499998572211,0.3249852902656096
heavy,11.9,True,-8.557106320789185,2.781129217101737,0.917987905570818,2,3.5842440263129784,3.774037437103506,0.09240742557723076,0.002493622448979592,1.300440992825296,0.32505475184243393
heavy,12.0,True,-8.485797101449275,2.7851008968313966,0.9186427490340471,2,3.6216198271274265,3.7985723053070184,0.08524177137504392,0.002493622448979592,1.3013669826524887,0.32512341654357907
heavy,12.1,True,-8.415666546891845,2.7889690644533065,0.9192872242489534,2,3.658904784263835,3.822954536062057,0.0780434785718759,0.002493622448979592,1.302278323855333,0.32519129562920623
heavy,12.2,True,-8.346685673556665,2.7927373410523506,0.9199215753700167,2,3.6961003343650245,3.8471838467832318,0.07081307234843788,0.002493622448979592,1.3031753610816676,0.32525840025387065
heavy,12.3,True,-8.278826440438316,2.796409188212218,0.9205460389504881,2,3.733207864367656,3.8712599714340423,0.06355107691999487,0.002493622448979592,1.304058428258982,0.325324741460719
heavy,12.4,True,-8.212061711079944,2.7999879165126162,0.9211608442357172,2,3.770228713478928,3.895182660411039,0.056258015463413434,0.002493622448979592,1.3049278490077336,0.3253903301764268
heavy,12.5,True,-8.146365217391306,2.8034766934940056,0.9217662134430112,2,3.807164175062343,3.9189516804254865,0.04893441004531331,0.002493622448979592,1.305783937035708,0.32545517720680817
heavy,12.6,True,-8.081711525189785,2.8068785511282845,0.9223623620287378,2,3.8440154984369648,3.9425668143825465,0.0415807815512909,0.002493622448979592,1.3066269965144188,0.3255192932330403
