design,severity,method,runs,mean_tracking_rmse_deg_s,worst_tracking_rmse_deg_s,mean_beta_rms_deg,worst_beta_rms_deg,mean_steering_rms_deg,worst_steering_rms_deg,mean_peak_steering_deg,worst_peak_steering_deg,mean_peak_steering_rate_deg_s,worst_peak_steering_rate_deg_s,mean_peak_lateral_accel_mps2,worst_peak_lateral_accel_mps2,mean_peak_force_utilization,worst_peak_force_utilization,feasible_fraction,worst_family_tracking_rmse_deg_s,family_gap_tracking_rmse_deg_s
nonlinear_data_redesign,near_linear,M4,30,0.027131544034933033,0.038506583273731285,0.17017110556393067,0.24159402039629072,0.4916710993315259,0.553383566600249,1.1076741894819473,1.2204319802766257,0.9954418605422934,1.0901078605125027,1.585077906558517,1.6080399007696449,0.18253570762037424,0.18407594468235083,1.0,0.03664864278359901,0.01585093489348054
nonlinear_data_redesign,near_linear,M5,30,0.08294661662927995,0.2297134724316829,0.17001812812375888,0.24136779948036094,0.7036608980236989,1.3689930820677325,1.9184552423496823,4.181459782177737,237.70043835210464,817.9778441146786,2.0925066378874693,3.3733904219479336,0.32491415578654764,0.6652775509622261,1.0,0.1838961618406048,0.15156176554155895
nonlinear_data_redesign,moderate,M1,30,0.07879444228314877,0.09891435293974772,0.3529845897732483,0.5010047563705439,0.9851793074095425,1.1081920894763537,2.211386381565804,2.4329484858347428,1.9699268961754053,2.151875247386784,3.133843072912327,3.1693553331227733,0.36157453514029037,0.36338213491205884,1.0,0.08853004548331772,0.016766892353118706
nonlinear_data_redesign,moderate,M2,30,0.03757964624487449,0.05574396765972564,0.3515462450463888,0.4974839246237052,0.9839448093397003,1.1108498203146848,2.217704894166235,2.45164785432088,1.977593175351006,2.17988268229986,3.119422194402046,3.17553523727871,0.35986766360149647,0.36412533226010363,1.0,0.053199158655513334,0.027703539571056018
nonlinear_data_redesign,moderate,M3,30,0.4415952813024283,0.4822765826467621,0.3586871242497042,0.510887835923586,5.2760279342111325,5.734640466643202,18.817829152440897,21.288629097927632,3166.138655971033,3410.5248462766626,5.017618760227573,5.030553474732292,0.9965608823780145,0.998777296065846,0.0,0.4678685003994557,0.04828768640706743
nonlinear_data_redesign,moderate,M4,30,0.05736881505237134,0.0824154849132418,0.3530213393892714,0.49821059490790043,0.9879522411273266,1.1138179240110713,2.2297814374659146,2.4599970509741826,1.9908067486188166,2.191218014818142,3.1482707708031694,3.1970178108526626,0.36332575432975506,0.3666736476774649,1.0,0.07781292098647268,0.0339600005499704
nonlinear_data_redesign,moderate,M5,30,0.11601652865184077,0.2563294313510669,0.3523820854220203,0.49762108642778624,1.136449166238671,1.5999510720927415,2.701271102424936,4.267336518903768,245.26489288828103,817.0848329668455,3.3155848473826244,3.442483163758228,0.4538819174207769,0.6743801342800086,1.0,0.21878959599080564,0.1554149043266429
nonlinear_data_redesign,strong,M1,30,0.12258569809732502,0.1473426280608136,0.5650380973106083,0.7944479451330096,1.4901271839106511,1.6813121967275706,3.3573708027844114,3.7018622818706235,2.9555953713699497,3.2662265788062155,4.636429710853393,4.698504175428215,0.5369737686051287,0.5406030461416339,1.0,0.13226957551029567,0.02055310637347249
nonlinear_data_redesign,strong,M2,30,0.05991835170428532,0.08774369099446923,0.561847313954961,0.7874282186871124,1.4873609349219274,1.684538047683438,3.363932547541336,3.7277867739718045,2.9624138322109403,3.287907491684129,4.608245500061173,4.698146554885933,0.5335850077454353,0.5405736361523238,1.0,0.08423162443428785,0.043074448260375896
nonlinear_data_redesign,strong,M3,30,0.48395972206957977,0.5180793339796386,0.577127566151878,0.8147753104909776,5.393435987487002,5.8558737521157305,17.595459195228656,20.709424327176833,3158.034686753522,3405.3919758166962,5.014244181595594,5.026129099695122,0.9955953588160416,0.998052395284987,0.0,0.49539330418955474,0.02032009537914331
nonlinear_data_redesign,strong,M4,30,0.09639662192039615,0.1414736383436531,0.5654309081531684,0.7890196920723123,1.4942225832908977,1.6898868669043092,3.385404982482655,3.7433557049345367,2.9834698355027878,3.320800302186102,4.656934308832368,4.737065932490261,0.5395309416438615,0.5452798142742256,1.0,0.13220437003937574,0.058941641128585465
nonlinear_data_redesign,strong,M5,30,0.15261440350981326,0.2917098929078247,0.5636439314282823,0.7876801963706014,1.605553671129157,1.923298351347828,3.527236512126158,4.348393287228092,251.83419336963655,815.363866640266,4.807088393630442,4.915126726375789,0.5747161998873818,0.6827895828783742,1.0,0.2625757436404669,0.16942723287569633
