seed,point,cohort,epsilon,method,draw,tracking,parameter_error,feasible,rho
107,discriminating,20,8,IsotropicDP,9,0.009314264450068686,0.08498387301893477,1.0,0.96736046080864
107,discriminating,20,8,Local,0,0.006791388290775539,0.023646947456969287,1.0,0.9682292599274654
107,shared-viable,50,4,ControlAwareDP,0,0.007762261143237812,0.08566735065510653,1.0,0.9677625059489684
107,shared-viable,50,4,ControlAwareDP,1,0.007464114322547367,0.0603235244534072,1.0,0.9683375108440578
107,shared-viable,50,4,ControlAwareDP,2,0.007642983275252032,0.11697638788159215,1.0,0.9683199283906442
107,shared-viable,50,4,ControlAwareDP,3,0.00755778191304511,0.11029948037954179,1.0,0.967943093569608
107,shared-viable,50,4,ControlAwareDP,4,0.00795487947018719,0.10166544341540644,1.0,0.9682873947912084
107,shared-viable,50,4,ControlAwareDP,5,0.007761300763194826,0.09034307812663664,1.0,0.96812289186717
107,shared-viable,50,4,ControlAwareDP,6,0.007673653753352303,0.06353640478709618,1.0,0.968683324806057
107,shared-viable,50,4,ControlAwareDP,7,0.007744741034968198,0.07244100417621353,1.0,0.9684111299718284
107,shared-viable,50,4,ControlAwareDP,8,0.00760655493499513,0.13194974876851934,1.0,0.9678190443552892
107,shared-viable,50,4,ControlAwareDP,9,0.007443011109217881,0.06843105698241533,1.0,0.9680421997314984
107,shared-viable,50,4,FamilyNonPrivate,0,0.007415685033478112,0.04379232888746593,1.0,0.968040593275425
107,shared-viable,50,4,IsotropicDP,0,0.007844798003449475,0.051129453234895865,1.0,0.9676739218630228
107,shared-viable,50,4,IsotropicDP,1,0.007488831370586451,0.06229135708494915,1.0,0.9684330549666804
107,shared-viable,50,4,IsotropicDP,2,0.007693174253385895,0.05886861639788755,1.0,0.9683100944906748
107,shared-viable,50,4,IsotropicDP,3,0.0075884870743279705,0.053162850436914176,1.0,0.967929819826896
107,shared-viable,50,4,IsotropicDP,4,0.008272765130762359,0.061589267619963875,1.0,0.9683629766169944
107,shared-viable,50,4,IsotropicDP,5,0.007949934326104207,0.05457708709212874,1.0,0.968128292955267
107,shared-viable,50,4,IsotropicDP,6,0.007856660894270378,0.06515955651241857,1.0,0.9687915147700042
107,shared-viable,50,4,IsotropicDP,7,0.007898039827895116,0.05350171488202815,1.0,0.9684544142428246
107,shared-viable,50,4,IsotropicDP,8,0.0076337219754402524,0.06761990101271417,1.0,0.9678101866732814
107,shared-viable,50,4,IsotropicDP,9,0.007456852379692309,0.0463331851110114,1.0,0.9680448640738232
107,shared-viable,50,4,Local,0,0.006791388290775539,0.023646947456969287,1.0,0.9682292599274654
108,discriminating,20,8,ControlAwareDP,0,0.009439256987503737,0.21380462207268056,1.0,0.967448049250754
108,discriminating,20,8,ControlAwareDP,1,0.009914223811583453,0.12628367191287845,1.0,0.96644384163231
108,discriminating,20,8,ControlAwareDP,2,0.01056618383949784,0.14443102751099235,1.0,0.966249314796438
108,discriminating,20,8,ControlAwareDP,3,0.008802299297084822,0.07159529609533877,1.0,0.9679198802008364
108,discriminating,20,8,ControlAwareDP,4,0.008755567336118835,0.16053239107473455,1.0,0.967494608730098
108,discriminating,20,8,ControlAwareDP,5,0.009771921175597949,0.16456146241826072,1.0,0.9674361450999222
108,discriminating,20,8,ControlAwareDP,6,0.010442647249744356,0.16918463766725297,1.0,0.9666571423980438
108,discriminating,20,8,ControlAwareDP,7,0.00806974709600418,0.15191179269407618,1.0,0.9677818825501268
108,discriminating,20,8,ControlAwareDP,8,0.008956466513098987,0.11580212997294476,1.0,0.966775276561936
108,discriminating,20,8,ControlAwareDP,9,0.010200530700449524,0.11445704186096615,1.0,0.967462898900278
108,discriminating,20,8,FamilyNonPrivate,0,0.008068835017690531,0.054206309000143,1.0,0.9676954852849664
108,discriminating,20,8,IsotropicDP,0,0.009700291592657017,0.08928920395536986,1.0,0.9673603396707924
108,discriminating,20,8,IsotropicDP,1,0.010572868367613826,0.07140351682389014,1.0,0.9661844497488168
108,discriminating,20,8,IsotropicDP,2,0.01127112660366231,0.08932110421347088,1.0,0.9658490559092596
108,discriminating,20,8,IsotropicDP,3,0.00898796015379581,0.06181687005763416,1.0,0.9679743843901856
108,discriminating,20,8,IsotropicDP,4,0.008899416438911352,0.07289493654136216,1.0,0.9673925074704648
108,discriminating,20,8,IsotropicDP,5,0.010229437149530334,0.08275729441452574,1.0,0.96735760868072
108,discriminating,20,8,IsotropicDP,6,0.011336139000174278,0.08987291860172475,1.0,0.9663776769336224
108,discriminating,20,8,IsotropicDP,7,0.008008244738016273,0.0656544272583225,1.0,0.9677471744072648
108,discriminating,20,8,IsotropicDP,8,0.009293759595719995,0.06932565210640758,1.0,0.966577140301594
108,discriminating,20,8,IsotropicDP,9,0.010846001552778026,0.07685597916419872,1.0,0.9674185116040678
108,discriminating,20,8,Local,0,0.006716211795054939,0.018924969761237788,1.0,0.9680223754037718
108,shared-viable,50,4,ControlAwareDP,0,0.008079904741737922,0.06386188624680544,1.0,0.9675219717695964
