gamma,low,high,time_scale,plant,baseline,improved,reduction_pct,ci_low,ci_high,positive_pairs
0,18,22,1,legacy,M3,M4,-0.07196908000060745,-3.982119509665343e-05,-1.2030878471829704e-06,3
0,18,22,1,legacy,M2,M4,1.2855720213626436,0.00031642952071592455,0.00042116885852335427,10
0,18,22,1,vy,M1,M3,1.2923351760300772,0.00031855142707487376,0.0004220133705756161,10
0,18,22,1,vy,M3,M4,-0.07192107638745308,-3.981511576073244e-05,-1.1877633471506003e-06,3
0,18,22,1,vy,M2,M4,1.286440806700172,0.000316738770112398,0.000421392100710066,10
0,18,22,2,beta_noacc,M1,M3,3.0618469801948116,0.0001986522827529427,0.00029573252608050787,10
0,18,22,2,beta_noacc,M3,M4,-0.17522402302333992,-3.114990887825361e-05,3.4532429383989613e-06,4
0,18,22,2,beta_noacc,M2,M4,3.0360841827708756,0.00019588858783958877,0.0002952824156203289,10
0,18,22,2,legacy,M1,M3,3.063322892047707,0.00019877553588469192,0.0002958483778317115,10
0,18,22,2,legacy,M3,M4,-0.17521975287821526,-3.115010097383632e-05,3.4542390408375153e-06,4
0,18,22,2,legacy,M2,M4,3.037561195245282,0.00019601285224064605,0.00029539778896130127,10
0,18,22,2,vy,M1,M3,3.0609551446692316,0.00019858152236476882,0.0002956794407833589,10
0,18,22,2,vy,M3,M4,-0.17522912722773137,-3.1155926823231154e-05,3.45626367490217e-06,4
0,18,22,2,vy,M2,M4,3.035197314650799,0.00019581728071344133,0.0002952297182436612,10
1,10,30,1,beta_noacc,M1,M3,19.403437926203306,0.007651663546908623,0.007987015925999796,10
1,10,30,1,beta_noacc,M3,M4,16.36278586738854,0.0048667786266255245,0.005762362601105544,10
1,10,30,1,beta_noacc,M2,M4,25.020164843854403,0.008925645862059609,0.009218216268587482,10
1,10,30,1,legacy,M1,M3,19.41318956509409,0.007656222101485181,0.007991377010999954,10
1,10,30,1,legacy,M3,M4,16.3696587207802,0.004868571296167253,0.005764364768275502,10
1,10,30,1,legacy,M2,M4,25.031811710475765,0.00893017105322284,0.00922236688593836,10
1,10,30,1,vy,M1,M3,19.345089248774933,0.007634341696771631,0.007969923654430333,10
1,10,30,1,vy,M3,M4,16.462356162422786,0.004905209347710808,0.00580484324616283,10
1,10,30,1,vy,M2,M4,25.020113296899304,0.008929495709438354,0.009220596105940716,10
1,10,30,2,beta_noacc,M1,M3,29.615291502515994,0.004778434418331539,0.005045269428198081,10
1,10,30,2,beta_noacc,M3,M4,35.2350638365379,0.003769344361514046,0.004463322172063598,10
1,10,30,2,beta_noacc,M2,M4,44.9956643431091,0.006040040849138262,0.0063420566907482516,10
1,10,30,2,legacy,M1,M3,29.620731242466643,0.0047797836547578635,0.005046575089401669,10
1,10,30,2,legacy,M3,M4,35.24294085688499,0.003770261352102219,0.0044643425185805965,10
1,10,30,2,legacy,M2,M4,45.00408033881336,0.006041511407877801,0.006343363092162406,10
1,10,30,2,vy,M1,M3,29.556495892168744,0.004771375642517179,0.005038311253032543,10
1,10,30,2,vy,M3,M4,35.27125300185243,0.0037782755291599964,0.004474077617675339,10
1,10,30,2,vy,M2,M4,44.95119436811374,0.006033480489782558,0.006336530847480074,10
1,18,22,1,beta_noacc,M1,M3,0.8846500155844325,0.000260204635927857,0.00033274149214464655,10
1,18,22,1,beta_noacc,M3,M4,12.444309738792741,0.0037158522966250617,0.004492335246788189,10
1,18,22,1,beta_noacc,M2,M4,1.2427428805388048,0.00031415475974432493,0.0004178845876107302,10
1,18,22,1,legacy,M1,M3,0.8854126095233233,0.0002604615325148947,0.0003329965152435945,10
1,18,22,1,legacy,M3,M4,12.44493789153085,0.0037160280956647957,0.004492545070939776,10
1,18,22,1,legacy,M2,M4,1.2435581069161556,0.00031439985883248065,0.00041811420008313374,10
1,18,22,1,vy,M1,M3,0.883737709140977,0.00025996511491310927,0.00033245693786643844,10
1,18,22,1,vy,M3,M4,12.45698013526862,0.0037204812688776787,0.004497332708925998,10
1,18,22,1,vy,M2,M4,1.2448748353859103,0.00031484278604371907,0.00041847720773903615,10
1,18,22,2,beta_noacc,M1,M3,1.9202013525798303,0.00019950963365900027,0.00024664650448936066,10
1,18,22,2,beta_noacc,M3,M4,29.581220470890393,0.0030472846894667176,0.003656176619456904,10
1,18,22,2,beta_noacc,M2,M4,2.9168001844712506,0.00019323581979572869,0.0002911441715695465,10
1,18,22,2,legacy,M1,M3,1.9212362216114598,0.00019963035827739566,0.000246770535955043,10
1,18,22,2,legacy,M3,M4,29.582220340080717,0.0030473911393343227,0.0036563190472451747,10
1,18,22,2,legacy,M2,M4,2.918271422303081,0.00019336054596984638,0.0002912619602418671,10
1,18,22,2,vy,M1,M3,1.9186808777779991,0.00019935305260510795,0.0002465107457819935,10
1,18,22,2,vy,M3,M4,29.588648649885272,0.0030485590868507824,0.003657582188194471,10
1,18,22,2,vy,M2,M4,2.916188889041138,0.00019318438987766688,0.00029110841803433316,10
