seed,test_seed,scenario,severity,method,client,family,tracking,peak_steering,peak_acceleration,peak_steering_rate,beta_rms,steering_rms,feasible
14,114,shifted_double_lane,moderate,M1,nominal_01,nominal,0.045017066662725515,1.5786748236870067,3.615345210715214,1.4696832264240445,0.5651780603487662,0.7345058808825101,1.0
14,114,shifted_double_lane,moderate,M1,nominal_02,nominal,0.04912012104343589,1.5604919311518946,3.593834045186016,1.449384247173257,0.6186095610864529,0.7254282680116204,1.0
14,114,shifted_double_lane,moderate,M1,nominal_03,nominal,0.03638840668276796,1.6724633777152436,3.6313619248001037,1.5644350843660257,0.526183493407772,0.7829546760361258,1.0
14,114,shifted_double_lane,moderate,M1,nominal_04,nominal,0.05285130677899481,1.4644545236846531,3.613905732720438,1.3509567355931178,0.5832615367251025,0.6761720016078594,1.0
14,114,shifted_double_lane,moderate,M1,nominal_05,nominal,0.05116484898650645,1.5179535223230542,3.6041106754988292,1.4086214400533306,0.5919625618622053,0.7028098455213787,1.0
14,114,shifted_double_lane,moderate,M1,nominal_06,nominal,0.05365883785301882,1.474260451150547,3.6070012625120387,1.3631679911585026,0.5914022274096554,0.6805163670004507,1.0
14,114,shifted_double_lane,moderate,M1,nominal_07,nominal,0.05827681482416326,1.400743425675114,3.6137641356247294,1.289000065835127,0.5776516837136328,0.6421332916451344,1.0
14,114,shifted_double_lane,moderate,M1,nominal_08,nominal,0.041023955751199104,1.6464514451658738,3.6110396766499693,1.5377666599671085,0.5720448435125073,0.7695407421996965,1.0
14,114,shifted_double_lane,moderate,M1,nominal_09,nominal,0.05954600882034953,1.3887220471878925,3.6116923486674897,1.2768136458517825,0.5827909844150655,0.6357939689714587,1.0
14,114,shifted_double_lane,moderate,M1,heavy_00,heavy,0.04921467011264815,1.644788930288674,3.568982083216156,1.5427740748185397,0.6454470623268284,0.7666186375406436,1.0
14,114,shifted_double_lane,moderate,M1,heavy_01,heavy,0.05887370317127119,1.5096772600780304,3.5604517542889016,1.4025496433774367,0.6827515648318303,0.6973231639009577,1.0
14,114,shifted_double_lane,moderate,M1,heavy_02,heavy,0.060320452922913846,1.5087666522488208,3.554586075516365,1.4037514767810424,0.6899929387093205,0.6961106998175238,1.0
14,114,shifted_double_lane,moderate,M1,heavy_03,heavy,0.051409628684183584,1.619818578232726,3.5603040837028703,1.5149213404381197,0.6725452942462409,0.7543211025094076,1.0
14,114,shifted_double_lane,moderate,M1,heavy_04,heavy,0.05381353145543422,1.613375114426915,3.5470946856428016,1.5086592649921222,0.7009795269993643,0.750817548712555,1.0
