seed,budget,method,tracking,feasible
180,1.25,OracleGroupRank2,0.008033934630706459,1.0
180,1.75,ExactIndividual,0.0067112225829019535,1.0
180,1.75,LearnedBackbone,0.00795076156745995,1.0
180,1.75,LearnedRank1,0.006845342861597881,1.0
180,1.75,LearnedRank2,0.007120890982724664,1.0
180,1.75,Local,0.007217089114075053,1.0
180,1.75,OracleGroupRank2,0.007145606235944276,1.0
180,2.75,ExactIndividual,0.0067112225829019535,1.0
180,2.75,LearnedBackbone,0.007272127780680402,1.0
180,2.75,LearnedRank1,0.006672866754810678,1.0
180,2.75,LearnedRank2,0.006692747598458571,1.0
180,2.75,Local,0.0067022615723566345,1.0
180,2.75,OracleGroupRank2,0.0066875225868501574,1.0
180,4.75,ExactIndividual,0.0067112225829019535,1.0
180,4.75,LearnedBackbone,0.007361560362184378,1.0
180,4.75,LearnedRank1,0.0066811333234507685,1.0
180,4.75,LearnedRank2,0.0066952546533194926,1.0
180,4.75,Local,0.006698399602104642,1.0
180,4.75,OracleGroupRank2,0.0066875429072864815,1.0
181,0.25,ExactIndividual,0.0067319831775239595,1.0
181,0.25,LearnedBackbone,0.009987729314266603,1.0
181,0.25,LearnedRank1,0.016700130297854443,1.0
181,0.25,LearnedRank2,0.037074623160919966,1.0
181,0.25,Local,0.5946137833096071,1.0
181,0.25,OracleGroupRank2,0.032363935544517206,1.0
181,0.5,ExactIndividual,0.0067319831775239595,1.0
181,0.5,LearnedBackbone,0.012430082267624272,1.0
181,0.5,LearnedRank1,0.0133921029590968,1.0
181,0.5,LearnedRank2,0.02104034928833673,1.0
181,0.5,Local,0.02093639769499451,1.0
181,0.5,OracleGroupRank2,0.019851355558937113,1.0
181,0.75,ExactIndividual,0.0067319831775239595,1.0
181,0.75,LearnedBackbone,0.010607854691296324,1.0
181,0.75,LearnedRank1,0.010211422272532807,1.0
181,0.75,LearnedRank2,0.013578121116704877,1.0
181,0.75,Local,0.013548594794083497,1.0
181,0.75,OracleGroupRank2,0.013234889241727946,1.0
181,1.25,ExactIndividual,0.0067319831775239595,1.0
181,1.25,LearnedBackbone,0.007784195485355077,1.0
181,1.25,LearnedRank1,0.007394738491590518,1.0
181,1.25,LearnedRank2,0.007635978590193748,1.0
181,1.25,Local,0.007562194014578743,1.0
181,1.25,OracleGroupRank2,0.0076282859742094426,1.0
181,1.75,ExactIndividual,0.0067319831775239595,1.0
181,1.75,LearnedBackbone,0.007684593605286031,1.0
181,1.75,LearnedRank1,0.007010313895430497,1.0
181,1.75,LearnedRank2,0.007198779653567767,1.0
181,1.75,Local,0.0071653946919199435,1.0
181,1.75,OracleGroupRank2,0.007190462945482533,1.0
181,2.75,ExactIndividual,0.0067319831775239595,1.0
181,2.75,LearnedBackbone,0.0077696016308887676,1.0
181,2.75,LearnedRank1,0.006845395526381967,1.0
181,2.75,LearnedRank2,0.006741666777676543,1.0
181,2.75,Local,0.0067388649260047085,1.0
181,2.75,OracleGroupRank2,0.006750882002933636,1.0
181,4.75,ExactIndividual,0.0067319831775239595,1.0
181,4.75,LearnedBackbone,0.00762282879078758,1.0
181,4.75,LearnedRank1,0.006731420881811874,1.0
181,4.75,LearnedRank2,0.00670376003608569,1.0
181,4.75,Local,0.006714303082922903,1.0
181,4.75,OracleGroupRank2,0.0067099428623561995,1.0
182,0.25,ExactIndividual,0.006614016413484946,1.0
182,0.25,LearnedBackbone,0.012864817392210032,1.0
182,0.25,LearnedRank1,0.01785653582603044,1.0
182,0.25,LearnedRank2,0.045281387250347055,1.0
182,0.25,Local,0.4241795728181188,1.0
182,0.25,OracleGroupRank2,0.03966399574539039,1.0
182,0.5,ExactIndividual,0.006614016413484946,1.0
182,0.5,LearnedBackbone,0.010894274543774413,1.0
182,0.5,LearnedRank1,0.0157719162358998,1.0
182,0.5,LearnedRank2,0.022701423974477032,1.0
182,0.5,Local,0.0232105956688929,1.0
182,0.5,OracleGroupRank2,0.020834525462659244,1.0
182,0.75,ExactIndividual,0.006614016413484946,1.0
182,0.75,LearnedBackbone,0.010430188048432274,1.0
182,0.75,LearnedRank1,0.010844472483186249,1.0
182,0.75,LearnedRank2,0.013745721739550425,1.0
182,0.75,Local,0.0141979590969547,1.0
182,0.75,OracleGroupRank2,0.013091679939847976,1.0
182,1.25,ExactIndividual,0.006614016413484946,1.0
182,1.25,LearnedBackbone,0.007659569393117835,1.0
182,1.25,LearnedRank1,0.007487895319345093,1.0
182,1.25,LearnedRank2,0.007650412881922896,1.0
182,1.25,Local,0.007731963445352167,1.0
182,1.25,OracleGroupRank2,0.007586905408824095,1.0
182,1.75,ExactIndividual,0.006614016413484946,1.0
182,1.75,LearnedBackbone,0.007659569393117835,1.0
182,1.75,LearnedRank1,0.007389701320570106,1.0
182,1.75,LearnedRank2,0.00729297372308922,1.0
182,1.75,Local,0.007232663812280604,1.0
182,1.75,OracleGroupRank2,0.0072696615705855495,1.0
182,2.75,ExactIndividual,0.006614016413484946,1.0
182,2.75,LearnedBackbone,0.007311305541096302,1.0
182,2.75,LearnedRank1,0.006651589315098507,1.0
182,2.75,LearnedRank2,0.0066170545414780905,1.0
182,2.75,Local,0.006608322121019761,1.0
182,2.75,OracleGroupRank2,0.0066382110780701655,1.0
182,4.75,ExactIndividual,0.006614016413484946,1.0
182,4.75,LearnedBackbone,0.007224754612608412,1.0
182,4.75,LearnedRank1,0.006591625339194677,1.0
182,4.75,LearnedRank2,0.006591977117034032,1.0
182,4.75,Local,0.006586572012409634,1.0
182,4.75,OracleGroupRank2,0.006601091931549701,1.0
183,0.25,ExactIndividual,0.006667034657535353,1.0
183,0.25,LearnedBackbone,0.01148431096068181,1.0
183,0.25,LearnedRank1,0.016567153671116577,1.0
183,0.25,LearnedRank2,0.05559852315637618,1.0
183,0.25,Local,0.5160449797360963,1.0
183,0.25,OracleGroupRank2,0.05072150979191356,1.0
183,0.5,ExactIndividual,0.006667034657535353,1.0
183,0.5,LearnedBackbone,0.011101523818256761,1.0
183,0.5,LearnedRank1,0.011210334851815237,1.0
183,0.5,LearnedRank2,0.01654178943433323,1.0
183,0.5,Local,0.018414422775741728,1.0
183,0.5,OracleGroupRank2,0.01666719246480643,1.0
183,0.75,ExactIndividual,0.006667034657535353,1.0
183,0.75,LearnedBackbone,0.010759637655632629,1.0
183,0.75,LearnedRank1,0.011319275129279572,1.0
183,0.75,LearnedRank2,0.013281921690700077,1.0
183,0.75,Local,0.013892610388347588,1.0
183,0.75,OracleGroupRank2,0.012934692484156145,1.0
183,1.25,ExactIndividual,0.006667034657535353,1.0
183,1.25,LearnedBackbone,0.00793477912182165,1.0
183,1.25,LearnedRank1,0.0072087258390368825,1.0
183,1.25,LearnedRank2,0.007217628962072112,1.0
183,1.25,Local,0.007328259789130008,1.0
183,1.25,OracleGroupRank2,0.007146194413703297,1.0
183,1.75,ExactIndividual,0.006667034657535353,1.0
183,1.75,LearnedBackbone,0.007948320465615446,1.0
183,1.75,LearnedRank1,0.006970209576506441,1.0
183,1.75,LearnedRank2,0.0068820295812420116,1.0
183,1.75,Local,0.006979992074959707,1.0
183,1.75,OracleGroupRank2,0.006827825206392535,1.0
183,2.75,ExactIndividual,0.006667034657535353,1.0
183,2.75,LearnedBackbone,0.007420240538327838,1.0
183,2.75,LearnedRank1,0.0067130478392491075,1.0
183,2.75,LearnedRank2,0.006653019042974635,1.0
183,2.75,Local,0.006659708812725417,1.0
183,2.75,OracleGroupRank2,0.00666380722081914,1.0
183,4.75,ExactIndividual,0.006667034657535353,1.0
183,4.75,LearnedBackbone,0.007496550260888346,1.0
183,4.75,LearnedRank1,0.006700348345642716,1.0
183,4.75,LearnedRank2,0.006640890887674459,1.0
183,4.75,Local,0.0066441470934534685,1.0
183,4.75,OracleGroupRank2,0.006645030139146706,1.0
184,0.25,ExactIndividual,0.006641956987464872,1.0
