seed,condition,method,tracking,steering,beta,feasible
151,nominal,ExactIndividual,0.006722342904178356,0.8126109718740214,0.4492699590317294,1.0
151,nominal,GlobalExact,0.013241926765225438,0.8126021129206655,0.4493772496881101,1.0
151,nominal,Local,0.007070013722842384,0.8126241070614703,0.44928421661938844,1.0
151,nominal,SwapWithinFamily,0.00883691502310057,0.8126171441905103,0.44928914965876626,1.0
151,tire_fade,ExactDeployment,0.0068909856789685165,0.8436405634211569,0.5268533790637476,1.0
151,tire_fade,ExactFamily,0.008851110226956707,0.843669543878816,0.5268925293134371,1.0
151,tire_fade,ExactIndividual,0.007370606535620653,0.8436810144656047,0.5268851708377551,1.0
151,tire_fade,GlobalExact,0.014602472071267707,0.8436665015090075,0.5270272023928454,1.0
151,tire_fade,Local,0.007721879187494229,0.8436965855112106,0.5269037548030944,1.0
151,tire_fade,SwapWithinFamily,0.009757284978567485,0.8436873793533916,0.5269102152005727,1.0
152,load_shift,ExactDeployment,0.006997154536753314,0.8437089062614913,0.5180515756124822,1.0
152,load_shift,ExactFamily,0.008493845230577304,0.8437399390953615,0.5180853178332242,1.0
152,load_shift,ExactIndividual,0.007425407212324645,0.84374652542174,0.5180794351875817,1.0
152,load_shift,GlobalExact,0.012206225049913113,0.8437549802961802,0.5181886643669993,1.0
152,load_shift,Local,0.007699098241726998,0.843762050788372,0.5180982944594494,1.0
152,load_shift,SwapWithinFamily,0.00965215207554953,0.843758369346619,0.5181080561887492,1.0
152,nominal,ExactDeployment,0.006702291573001582,0.8154770577952996,0.4482647263671927,1.0
152,nominal,ExactFamily,0.0076692459484010945,0.8154718232411965,0.4482692466334531,1.0
152,nominal,ExactIndividual,0.006702291573001582,0.8154770577952996,0.4482647263671927,1.0
152,nominal,GlobalExact,0.011064680851630383,0.8154855996397239,0.4483491052199643,1.0
152,nominal,Local,0.006998010478328615,0.81549025005048,0.4482793989365417,1.0
152,nominal,SwapWithinFamily,0.008773508928562435,0.8154875922351789,0.4482870396858802,1.0
152,tire_fade,ExactDeployment,0.006870627925309891,0.8467944414715686,0.5257893541508235,1.0
152,tire_fade,ExactFamily,0.008444474193213819,0.8468286243262497,0.5258266152525041,1.0
152,tire_fade,ExactIndividual,0.0073483833871601685,0.8468353620249283,0.5258205834462367,1.0
152,tire_fade,GlobalExact,0.01221915636413279,0.8468437240442166,0.525932455345444,1.0
152,tire_fade,Local,0.007622773332528622,0.8468511261057897,0.5258399099513463,1.0
152,tire_fade,SwapWithinFamily,0.009619684939982661,0.846847320441405,0.5258498993707593,1.0
153,load_shift,ExactDeployment,0.006939522673441181,0.8261779358252415,0.5225611588431105,1.0
153,load_shift,ExactFamily,0.00847493419838169,0.8262079879574327,0.5225966340110532,1.0
153,load_shift,ExactIndividual,0.007372240278699061,0.8262154721677354,0.5225900022507207,1.0
153,load_shift,GlobalExact,0.012698599039330448,0.8262117446685819,0.5226954613618437,1.0
153,load_shift,Local,0.007599973612923547,0.8262242428538363,0.5225958681282553,1.0
153,load_shift,SwapWithinFamily,0.00958669439317486,0.82621692861304,0.522604891369319,1.0
153,nominal,ExactDeployment,0.006653679447044671,0.7995128540539631,0.4523265609613524,1.0
153,nominal,ExactFamily,0.007639037115484002,0.7995069210672169,0.4523316557221612,1.0
153,nominal,ExactIndividual,0.006653679447044671,0.7995128540539631,0.4523265609613524,1.0
153,nominal,GlobalExact,0.011552701477190954,0.7995115620887285,0.4524080120554811,1.0
153,nominal,Local,0.006881614314079237,0.799520208561852,0.4523312800139893,1.0
153,nominal,SwapWithinFamily,0.008633372263670924,0.7995146156897253,0.45233827956165573,1.0
153,tire_fade,ExactDeployment,0.0068126842633952755,0.8290862909739434,0.5303470324668097,1.0
153,tire_fade,ExactFamily,0.008429352354282039,0.8291195254971623,0.53038621619613,1.0
153,tire_fade,ExactIndividual,0.007295755124282029,0.8291271866997078,0.5303794191078314,1.0
153,tire_fade,GlobalExact,0.012716593686173581,0.8291231058539082,0.5304874277717794,1.0
153,tire_fade,Local,0.00752759886533342,0.8291361130875545,0.5303854215644082,1.0
153,tire_fade,SwapWithinFamily,0.009564623263360625,0.8291285970956044,0.5303946609605968,1.0
154,load_shift,ExactDeployment,0.007022130985252608,0.8467599526290772,0.5186462494018146,1.0
154,load_shift,ExactFamily,0.008082941189186742,0.8467914391151189,0.5186744470933162,1.0
154,load_shift,ExactIndividual,0.0074505553722041505,0.846797559606586,0.5186740847403759,1.0
154,load_shift,GlobalExact,0.012829958763876399,0.8468036309638208,0.5187887043614917,1.0
154,load_shift,Local,0.007730469148195132,0.8467889609964457,0.5186688232455627,1.0
154,load_shift,SwapWithinFamily,0.009410954867797873,0.846781541852391,0.518672241378608,1.0
154,nominal,ExactDeployment,0.006725194911342053,0.818257514130294,0.44882438512664274,1.0
154,nominal,ExactFamily,0.0072960440830142324,0.8182525604304642,0.44882461484146113,1.0
154,nominal,ExactIndividual,0.006725194911342053,0.818257514130294,0.44882438512664274,1.0
154,nominal,GlobalExact,0.01168183652817431,0.8182641471517851,0.4489128470216274,1.0
154,nominal,Local,0.006951475316359544,0.8182502768227268,0.448820217466712,1.0
154,nominal,SwapWithinFamily,0.008501160099744151,0.818244453513045,0.44882286907173347,1.0
154,tire_fade,ExactDeployment,0.006895096988886009,0.8498754878462651,0.5263878645937162,1.0
154,tire_fade,ExactFamily,0.008023236445392401,0.8499101495603707,0.5264194611275175,1.0
154,tire_fade,ExactIndividual,0.007373160572466281,0.8499164011570454,0.5264190850787572,1.0
154,tire_fade,GlobalExact,0.012847527196861594,0.849922320467005,0.5265364821470748,1.0
154,tire_fade,Local,0.007664657744223635,0.8499076713642406,0.5264137031430725,1.0
154,tire_fade,SwapWithinFamily,0.009382124642311699,0.8499000655294422,0.5264172023256952,1.0
