client_id,family,method,max_spectral_radius,min_spectral_margin,seed
heavy_03,heavy,M5,0.9672584058750073,0.03274159412499267,7
heavy_04,heavy,M1,0.9625181750606177,0.03748182493938235,7
heavy_04,heavy,M2,0.9647918757785089,0.03520812422149111,7
heavy_04,heavy,M3,0.9650495116568688,0.03495048834313119,7
heavy_04,heavy,M4,0.9670577448491361,0.03294225515086391,7
heavy_04,heavy,M5,0.9668104102270463,0.03318958977295372,7
heavy_05,heavy,M1,0.9635759527852293,0.03642404721477066,7
heavy_05,heavy,M2,0.9657396451376726,0.03426035486232737,7
heavy_05,heavy,M3,0.965972695958241,0.03402730404175902,7
heavy_05,heavy,M4,0.9679015474608157,0.03209845253918431,7
heavy_05,heavy,M5,0.9676649120672968,0.03233508793270323,7
heavy_06,heavy,M1,0.9638626198785587,0.0361373801214413,7
heavy_06,heavy,M2,0.9659542201094128,0.03404577989058721,7
heavy_06,heavy,M3,0.9661981595713381,0.033801840428661856,7
heavy_06,heavy,M4,0.9680711494337135,0.03192885056628647,7
heavy_06,heavy,M5,0.9678390878542757,0.03216091214572425,7
heavy_07,heavy,M1,0.9639570039292876,0.036042996070712374,7
heavy_07,heavy,M2,0.9660442821544533,0.03395571784554674,7
heavy_07,heavy,M3,0.9662828871131851,0.03371711288681489,7
heavy_07,heavy,M4,0.9681524883109377,0.0318475116890623,7
heavy_07,heavy,M5,0.9679213458220882,0.03207865417791178,7
heavy_08,heavy,M1,0.9636784820958006,0.03632151790419935,7
heavy_08,heavy,M2,0.9656344753575818,0.034365524642418155,7
heavy_08,heavy,M3,0.9659478971005131,0.0340521028994869,7
heavy_08,heavy,M4,0.9677090246774447,0.032290975322555315,7
heavy_08,heavy,M5,0.9674811239793155,0.032518876020684484,7
heavy_09,heavy,M1,0.9644136512436426,0.035586348756357356,7
heavy_09,heavy,M2,0.9664574734732521,0.03354252652674794,7
heavy_09,heavy,M3,0.9666867868737343,0.03331321312626567,7
heavy_09,heavy,M4,0.9685243174811512,0.0314756825188488,7
heavy_09,heavy,M5,0.9682974735413763,0.0317025264586237,7
handling_00,handling,M1,0.9570759100047513,0.04292408999524866,7
handling_00,handling,M2,0.9527115628934187,0.04728843710658126,7
handling_00,handling,M3,0.9601298507902277,0.039870149209772276,7
handling_00,handling,M4,0.9564029244901708,0.043597075509829164,7
handling_00,handling,M5,0.9559803964440823,0.04401960355591772,7
handling_01,handling,M1,0.9580370104464209,0.04196298955357913,7
handling_01,handling,M2,0.9540599009853297,0.04594009901467033,7
handling_01,handling,M3,0.9609187375365302,0.03908126246346977,7
handling_01,handling,M4,0.9574533420876102,0.04254665791238976,7
handling_01,handling,M5,0.9570620598183754,0.042937940181624557,7
handling_02,handling,M1,0.9577330255750923,0.04226697442490768,7
handling_02,handling,M2,0.9542554847333565,0.04574451526664347,7
