seed,budget,method,tracking,q95,feasible
210,1.25,Central,0.007652705715421058,0.011267063417163995,1.0
210,1.25,ExactIndividual,0.00673972551435772,0.009218204992598275,1.0
210,1.25,Fed100,0.007652705701273373,0.01126706327554529,1.0
210,1.25,Fed20,0.007822292632457583,0.012212446139181914,1.0
210,1.25,Fed50,0.007713687878299993,0.01119621777956903,1.0
210,1.25,Local,0.007756835134722227,0.011764543759400191,1.0
211,0.75,Central,0.009936958481175746,0.01932080634992924,1.0
211,0.75,ExactIndividual,0.006648480989679061,0.009205170172776184,1.0
211,0.75,Fed100,0.009992202957021752,0.01932423158595029,1.0
211,0.75,Fed20,0.00993695847717357,0.019320806162008233,1.0
211,0.75,Fed50,0.009992202957021752,0.01932423158595029,1.0
211,0.75,Local,0.012567968533419694,0.023597720017771034,1.0
211,1.25,Central,0.007479250259570574,0.010640691495037064,1.0
211,1.25,ExactIndividual,0.006648480989679061,0.009205170172776184,1.0
211,1.25,Fed100,0.007498444133465141,0.01065825567359386,1.0
211,1.25,Fed20,0.007479250245165088,0.0106406916060194,1.0
211,1.25,Fed50,0.007498444133465141,0.01065825567359386,1.0
211,1.25,Local,0.007547305418295046,0.010849214141204424,1.0
212,0.75,Central,0.009315664501576462,0.015695575714257653,1.0
212,0.75,ExactIndividual,0.006673088430260716,0.00938497712933073,1.0
212,0.75,Fed100,0.009315664500957352,0.015695575647632853,1.0
212,0.75,Fed20,0.009144318330004432,0.016143826051244568,1.0
212,0.75,Fed50,0.009315664500957352,0.015695575647632853,1.0
212,0.75,Local,0.010877917175414994,0.021745950346678256,1.0
212,1.25,Central,0.007229904450075889,0.010356264749707184,1.0
212,1.25,ExactIndividual,0.006673088430260716,0.00938497712933073,1.0
212,1.25,Fed100,0.007229904512661788,0.010356264736433635,1.0
212,1.25,Fed20,0.007211991460760423,0.010127496398173895,1.0
212,1.25,Fed50,0.007229904512661788,0.010356264736433635,1.0
212,1.25,Local,0.007122573147101261,0.010360257761843558,1.0
213,0.75,Central,0.010429840023682703,0.021333195545000933,1.0
213,0.75,ExactIndividual,0.006662067289923473,0.009212165235635329,1.0
213,0.75,Fed100,0.010429840040889734,0.021333195556229676,1.0
213,0.75,Fed20,0.010429840040889734,0.021333195556229676,1.0
213,0.75,Fed50,0.010429840040889734,0.021333195556229676,1.0
213,0.75,Local,0.012169669646836747,0.022287113651018615,1.0
213,1.25,Central,0.008155402933541764,0.012018777255109287,1.0
213,1.25,ExactIndividual,0.006662067289923473,0.009212165235635329,1.0
213,1.25,Fed100,0.008155402917941717,0.012018777050660213,1.0
213,1.25,Fed20,0.008155402917941717,0.012018777050660213,1.0
213,1.25,Fed50,0.008155402917941717,0.012018777050660213,1.0
213,1.25,Local,0.008020949931939319,0.013038659482255356,1.0
214,0.75,Central,0.01128175667653864,0.023576290819295423,1.0
214,0.75,ExactIndividual,0.0066725533277300275,0.009223433080180669,1.0
214,0.75,Fed100,0.011281756671669054,0.023576290811336026,1.0
214,0.75,Fed20,0.011084791576287785,0.021989372291862957,1.0
214,0.75,Fed50,0.011094017958770231,0.02141240619369458,1.0
214,0.75,Local,0.014110938928997256,0.02673327793233467,1.0
214,1.25,Central,0.007683153747138814,0.011077502588978804,1.0
214,1.25,ExactIndividual,0.0066725533277300275,0.009223433080180669,1.0
214,1.25,Fed100,0.007683153737030906,0.011077502463170715,1.0
214,1.25,Fed20,0.007725891900913825,0.011352530240806192,1.0
214,1.25,Fed50,0.007753201323829405,0.01115977767123252,1.0
214,1.25,Local,0.00779189406740305,0.011983590443571107,1.0
215,0.75,Central,0.01102762654933194,0.02402225060713126,1.0
215,0.75,ExactIndividual,0.006624257052814398,0.009216129268522695,1.0
215,0.75,Fed100,0.011027626544212988,0.024022250611347738,1.0
215,0.75,Fed20,0.010913925739735646,0.0220863077337807,1.0
215,0.75,Fed50,0.010643028706004212,0.023554606821121937,1.0
215,0.75,Local,0.012041203649309764,0.024305004841138823,1.0
215,1.25,Central,0.0072603352845459525,0.009910335923357926,1.0
215,1.25,ExactIndividual,0.006624257052814398,0.009216129268522695,1.0
215,1.25,Fed100,0.007260335277495408,0.00991033588647325,1.0
215,1.25,Fed20,0.007320792764254283,0.01011213318351174,1.0
215,1.25,Fed50,0.007288206921473438,0.009883237912185814,1.0
215,1.25,Local,0.007345973420204528,0.010405960382125459,1.0
