severity,method,client,family,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
near_linear,M4,handling_07,handling,0.015887093408134517,0.14088106045791352,0.5472420556259827,1.20986919510393,1.0810627617836819,1.5924413230571157,0.18259335113747907,True,True
near_linear,M4,handling_08,handling,0.016361080898257115,0.1291221930444484,0.5216964382989715,1.162697556008307,1.0417659678160551,1.5974501521799838,0.18316237248788989,True,True
near_linear,M4,handling_09,handling,0.015399953603565275,0.12156504169079467,0.5340800720355842,1.1851403350560248,1.0605420444220568,1.6003958455769685,0.1833084548613192,True,True
near_linear,M5,nominal_00,nominal,0.020163976096626186,0.15165977064921118,0.5034942158193029,1.1288388985662958,9.540213741708682,1.6554859661634045,0.19464180070544337,True,True
near_linear,M5,nominal_01,nominal,0.020100365815850077,0.16532886946269387,0.45416618517708435,1.0374419862409852,9.742283063550811,1.661162109801277,0.1959350979478589,True,True
near_linear,M5,nominal_02,nominal,0.019397757347182864,0.16483440883524278,0.4625698337215052,1.0528188757029426,9.748250457198242,1.6599165719549023,0.195657499677735,True,True
near_linear,M5,nominal_03,nominal,0.019902451866224805,0.16414655319719673,0.4788168006008078,1.0834700066251335,9.722719000531717,1.654523193195021,0.1948134396980573,True,True
near_linear,M5,nominal_04,nominal,0.019919343972572286,0.1671860512930558,0.4757138363576671,1.0777178365498619,9.770764301462899,1.6537968486343042,0.19475811884021013,True,True
near_linear,M5,nominal_05,nominal,0.019053492321966896,0.1542337883908567,0.4898175807043946,1.1031687672684625,9.59319324918118,1.658684548907942,0.19517049489427368,True,True
near_linear,M5,nominal_06,nominal,0.02045816756727659,0.18038440594936803,0.4650998371420125,1.0581670882201186,9.971821194346823,1.6494313450282856,0.194342062635354,True,True
near_linear,M5,nominal_07,nominal,0.02097437650816165,0.17280952672637,0.45683143446575897,1.0429447820419337,9.839505460847711,1.6548740968419178,0.1951382771182327,True,True
near_linear,M5,nominal_08,nominal,0.019253824851478658,0.15433150907763418,0.48150830903239855,1.0879878763776096,9.581799754350357,1.6600328189717901,0.195448282615254,True,True
near_linear,M5,nominal_09,nominal,0.02073895232166958,0.17253992814743468,0.4567003506116725,1.0425551738814174,9.841721896346408,1.6555207969035983,0.19521259960966358,True,True
near_linear,M5,heavy_00,heavy,0.021020622529785746,0.22648346927511706,0.4516378585785936,1.0351363353492757,8.541683572947694,1.6029863827446211,0.1876049524006454,True,True
near_linear,M5,heavy_01,heavy,0.019538540825714507,0.2111259068881904,0.47524198879737856,1.0783953036944618,8.345249902814976,1.6077865083412057,0.18792948642154222,True,True
near_linear,M5,heavy_02,heavy,0.019620355083677495,0.19752263234382317,0.4649449723374854,1.0592177547078054,8.1285375564533,1.616601254589179,0.1890702204215733,True,True
near_linear,M5,heavy_03,heavy,0.021017672554050706,0.22492879876357744,0.46215879508782465,1.0550088457913123,8.511886370296276,1.6008675870691513,0.1872595294978635,True,True
near_linear,M5,heavy_04,heavy,0.020752468923800216,0.22221999645519067,0.44759241121927523,1.0272898336981127,8.487406625207896,1.6068614560846206,0.1880979054769444,True,True
near_linear,M5,heavy_05,heavy,0.019104538191013525,0.20197270935172204,0.4645496616450735,1.05814862744459,8.213272425877332,1.6155439396728954,0.18893876758067166,True,True
near_linear,M5,heavy_06,heavy,0.019738460931896143,0.21512793681931303,0.48583678768900307,1.0981609678872808,8.40818457997837,1.6034465416770523,0.18732509481497073,True,True
near_linear,M5,heavy_07,heavy,0.020473353570390835,0.2207061653337047,0.48332028725806403,1.094085846365567,8.46832966391841,1.59952762541406,0.18690180802026923,True,True
near_linear,M5,heavy_08,heavy,0.0216916890498831,0.24105010543059102,0.4429338427504912,1.0189512390272812,8.755153700028098,1.5971766657142918,0.18700141157514624,True,True
near_linear,M5,heavy_09,heavy,0.019579787723062306,0.20353508227946768,0.46440845327326247,1.0582068877467046,8.223628094056554,1.6138395398185394,0.18874750880653726,True,True
