phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
A,map,biased-low-speed,10,correct,0.9,inf,ControlAware,0.007738168362005617,0.00021696563991975305,0.00801049302143631,1.0,0.9690437301609032,0.007738168362005617,0.0,False
A,map,biased-low-speed,10,correct,0.9,inf,Isotropic,0.007738168362005607,0.00021696563991975708,0.008010493021436296,1.0,0.9690437301609032,0.007738168362005607,0.0,False
A,map,biased-low-speed,20,correct,0.9,2,ControlAware,0.013742689509337673,0.0037385552771215854,0.02000593960772929,1.0,0.9711556218669878,0.007778488025288528,76.67558868328932,False
A,map,biased-low-speed,20,correct,0.9,2,Isotropic,0.015620660834722635,0.004761661679186425,0.02409880808942577,1.0,0.9715619954831264,0.007778488025288535,100.81872960321489,False
A,map,biased-low-speed,20,correct,0.9,4,ControlAware,0.009853329229473504,0.0015869391456934043,0.01314515493054463,1.0,0.9700672317103706,0.007778488025288528,26.674093955528242,False
A,map,biased-low-speed,20,correct,0.9,4,Isotropic,0.01056561604204199,0.00202981754757515,0.014674204680535438,1.0,0.9704269748961576,0.007778488025288535,35.831231052773504,False
A,map,biased-low-speed,20,correct,0.9,8,ControlAware,0.008461729593252261,0.0008469750898521079,0.009904249210409236,1.0,0.9696536284003742,0.007778488025288528,8.783732336444515,True
A,map,biased-low-speed,20,correct,0.9,8,Isotropic,0.008729385270071967,0.0010810689883307971,0.010691545981524527,1.0,0.9698256096532358,0.007778488025288535,12.224705388656298,False
A,map,biased-low-speed,20,correct,0.9,inf,ControlAware,0.007778488025288528,0.00023413913709140495,0.008085758761067957,1.0,0.968912667922222,0.007778488025288528,0.0,False
A,map,biased-low-speed,20,correct,0.9,inf,Isotropic,0.007778488025288535,0.00023413913709141154,0.008085758761067968,1.0,0.968912667922222,0.007778488025288535,0.0,False
A,map,biased-low-speed,30,correct,0.9,2,ControlAware,0.01092965183757053,0.0021077872607578965,0.014567313738506142,1.0,0.9712839872573236,0.007752062444710858,40.990245054433295,False
A,map,biased-low-speed,30,correct,0.9,2,Isotropic,0.01197477291902565,0.0026680901551787367,0.016869364749041466,1.0,0.9717370064282428,0.007752062444710858,54.472090549217626,False
A,map,biased-low-speed,30,correct,0.9,4,ControlAware,0.008842337505889407,0.0010744601737444782,0.01065241615509838,1.0,0.9706592382700596,0.007752062444710858,14.06432248133438,False
