gamma,low,time_scale,plant,severity,scenario,method,tracking
0,18,1,beta_noacc,moderate,shifted_double_lane,M4,0.02772965624608562
0,18,1,beta_noacc,near_linear,constant_22,M1,0.011153896537765553
0,18,1,beta_noacc,near_linear,constant_22,M2,0.011162034237710767
0,18,1,beta_noacc,near_linear,constant_22,M3,0.010975017576993502
0,18,1,beta_noacc,near_linear,constant_22,M4,0.01098397733874848
0,18,1,beta_noacc,near_linear,previous_s_curve,M1,0.015768528469998808
0,18,1,beta_noacc,near_linear,previous_s_curve,M2,0.015781131054878612
0,18,1,beta_noacc,near_linear,previous_s_curve,M3,0.016340495514376753
0,18,1,beta_noacc,near_linear,previous_s_curve,M4,0.016352397431682472
0,18,1,beta_noacc,near_linear,shifted_double_lane,M1,0.014138864650487326
0,18,1,beta_noacc,near_linear,shifted_double_lane,M2,0.01414634629470189
0,18,1,beta_noacc,near_linear,shifted_double_lane,M3,0.013187923237944942
0,18,1,beta_noacc,near_linear,shifted_double_lane,M4,0.013197378372063157
0,18,1,beta_noacc,strong,constant_22,M1,0.034840852615821
0,18,1,beta_noacc,strong,constant_22,M2,0.03486503344097119
0,18,1,beta_noacc,strong,constant_22,M3,0.03428791816208747
0,18,1,beta_noacc,strong,constant_22,M4,0.03431477813114165
0,18,1,beta_noacc,strong,previous_s_curve,M1,0.05468542610362515
0,18,1,beta_noacc,strong,previous_s_curve,M2,0.054723903499851914
0,18,1,beta_noacc,strong,previous_s_curve,M3,0.056579331528756355
0,18,1,beta_noacc,strong,previous_s_curve,M4,0.056615323904477995
0,18,1,beta_noacc,strong,shifted_double_lane,M1,0.0488318280234748
0,18,1,beta_noacc,strong,shifted_double_lane,M2,0.04885335114587398
0,18,1,beta_noacc,strong,shifted_double_lane,M3,0.045838586532630454
0,18,1,beta_noacc,strong,shifted_double_lane,M4,0.045866708384891555
0,18,1,legacy,moderate,constant_22,M1,0.022611103146107592
0,18,1,legacy,moderate,constant_22,M2,0.02262733580564559
0,18,1,legacy,moderate,constant_22,M3,0.022250595960951254
0,18,1,legacy,moderate,constant_22,M4,0.02226852528477204
0,18,1,legacy,moderate,previous_s_curve,M1,0.03310206760854359
0,18,1,legacy,moderate,previous_s_curve,M2,0.03312742964963847
0,18,1,legacy,moderate,previous_s_curve,M3,0.03428306693594278
0,18,1,legacy,moderate,previous_s_curve,M4,0.03430693245570281
0,18,1,legacy,moderate,shifted_double_lane,M1,0.02963765703005505
0,18,1,legacy,moderate,shifted_double_lane,M2,0.029652374446924513
0,18,1,legacy,moderate,shifted_double_lane,M3,0.027714873813701104
0,18,1,legacy,moderate,shifted_double_lane,M4,0.02773371186690488
0,18,1,legacy,near_linear,constant_22,M1,0.01115389653776555
0,18,1,legacy,near_linear,constant_22,M2,0.011162034237710767
0,18,1,legacy,near_linear,constant_22,M3,0.0109750175769935
0,18,1,legacy,near_linear,constant_22,M4,0.010983977338748478
0,18,1,legacy,near_linear,previous_s_curve,M1,0.01576622254111419
0,18,1,legacy,near_linear,previous_s_curve,M2,0.015778824932715305
0,18,1,legacy,near_linear,previous_s_curve,M3,0.01633784134702197
0,18,1,legacy,near_linear,previous_s_curve,M4,0.016349742794815224
0,18,1,legacy,near_linear,shifted_double_lane,M1,0.014140898684379696
0,18,1,legacy,near_linear,shifted_double_lane,M2,0.014148380229590198
0,18,1,legacy,near_linear,shifted_double_lane,M3,0.013189941093635213
0,18,1,legacy,near_linear,shifted_double_lane,M4,0.013199395486042369
0,18,1,legacy,strong,constant_22,M1,0.034840852615821
0,18,1,legacy,strong,constant_22,M2,0.03486503344097119
0,18,1,legacy,strong,constant_22,M3,0.03428791816208747
0,18,1,legacy,strong,constant_22,M4,0.03431477813114165
0,18,1,legacy,strong,previous_s_curve,M1,0.05468042029952471
0,18,1,legacy,strong,previous_s_curve,M2,0.054718895724481
0,18,1,legacy,strong,previous_s_curve,M3,0.05657339098714499
0,18,1,legacy,strong,previous_s_curve,M4,0.05660938068975512
0,18,1,legacy,strong,shifted_double_lane,M1,0.0488379633212554
0,18,1,legacy,strong,shifted_double_lane,M2,0.0488594866134561
0,18,1,legacy,strong,shifted_double_lane,M3,0.04584472792303636
0,18,1,legacy,strong,shifted_double_lane,M4,0.045872848015041795
0,18,1,vy,moderate,constant_22,M1,0.022611103146107592
0,18,1,vy,moderate,constant_22,M2,0.02262733580564559
0,18,1,vy,moderate,constant_22,M3,0.022250595960951254
0,18,1,vy,moderate,constant_22,M4,0.022268525284772044
0,18,1,vy,moderate,previous_s_curve,M1,0.033113967540520754
0,18,1,vy,moderate,previous_s_curve,M2,0.033139346704910144
0,18,1,vy,moderate,previous_s_curve,M3,0.034295456215298115
0,18,1,vy,moderate,previous_s_curve,M4,0.03431933403162795
0,18,1,vy,moderate,shifted_double_lane,M1,0.029630638484754838
0,18,1,vy,moderate,shifted_double_lane,M2,0.02964531499260523
0,18,1,vy,moderate,shifted_double_lane,M3,0.027706575140762104
0,18,1,vy,moderate,shifted_double_lane,M4,0.027725363397062577
0,18,1,vy,near_linear,constant_22,M1,0.011153896537765553
0,18,1,vy,near_linear,constant_22,M2,0.011162034237710767
0,18,1,vy,near_linear,constant_22,M3,0.0109750175769935
0,18,1,vy,near_linear,constant_22,M4,0.010983977338748478
0,18,1,vy,near_linear,previous_s_curve,M1,0.015769507859914284
0,18,1,vy,near_linear,previous_s_curve,M2,0.015782120701181786
0,18,1,vy,near_linear,previous_s_curve,M3,0.016341347528362117
0,18,1,vy,near_linear,previous_s_curve,M4,0.016353256925801807
0,18,1,vy,near_linear,shifted_double_lane,M1,0.014137163169206896
0,18,1,vy,near_linear,shifted_double_lane,M2,0.01414462524620341
0,18,1,vy,near_linear,shifted_double_lane,M3,0.013185450610150898
0,18,1,vy,near_linear,shifted_double_lane,M4,0.013194881719102202
0,18,1,vy,strong,constant_22,M1,0.034840852615821
0,18,1,vy,strong,constant_22,M2,0.03486503344097119
0,18,1,vy,strong,constant_22,M3,0.03428791816208747
0,18,1,vy,strong,constant_22,M4,0.03431477813114165
0,18,1,vy,strong,previous_s_curve,M1,0.054721736387952795
0,18,1,vy,strong,previous_s_curve,M2,0.05476022466800231
0,18,1,vy,strong,previous_s_curve,M3,0.056615417108323754
0,18,1,vy,strong,previous_s_curve,M4,0.05665141340939587
0,18,1,vy,strong,shifted_double_lane,M1,0.048830064995041826
0,18,1,vy,strong,shifted_double_lane,M2,0.04885152424736361
0,18,1,vy,strong,shifted_double_lane,M3,0.04583581412410924
0,18,1,vy,strong,shifted_double_lane,M4,0.045863852686463404
0,18,2,beta_noacc,moderate,constant_22,M1,0.006290891749114332
0,18,2,beta_noacc,moderate,constant_22,M2,0.006301698370174396
0,18,2,beta_noacc,moderate,constant_22,M3,0.0061432743306270065
0,18,2,beta_noacc,moderate,constant_22,M4,0.0061560785799262
0,18,2,beta_noacc,moderate,previous_s_curve,M1,0.00909731713502385
0,18,2,beta_noacc,moderate,previous_s_curve,M2,0.00911422570767882
0,18,2,beta_noacc,moderate,previous_s_curve,M3,0.009464797839394972
0,18,2,beta_noacc,moderate,previous_s_curve,M4,0.009480002650499468
0,18,2,beta_noacc,moderate,shifted_double_lane,M1,0.008585062991673604
0,18,2,beta_noacc,moderate,shifted_double_lane,M2,0.008592973997364011
0,18,2,beta_noacc,moderate,shifted_double_lane,M3,0.00763117480480637
0,18,2,beta_noacc,moderate,shifted_double_lane,M4,0.007643886487872306
0,18,2,beta_noacc,near_linear,constant_22,M1,0.0031063100077539448
0,18,2,beta_noacc,near_linear,constant_22,M2,0.0031116720121936873
0,18,2,beta_noacc,near_linear,constant_22,M3,0.003029886185773559
0,18,2,beta_noacc,near_linear,constant_22,M4,0.003036221655839042
0,18,2,beta_noacc,near_linear,previous_s_curve,M1,0.0043331184239256745
0,18,2,beta_noacc,near_linear,previous_s_curve,M2,0.004341498341232875
0,18,2,beta_noacc,near_linear,previous_s_curve,M3,0.004507591513551649
0,18,2,beta_noacc,near_linear,previous_s_curve,M4,0.004515165835841755
0,18,2,beta_noacc,near_linear,shifted_double_lane,M1,0.00413125122645667
0,18,2,beta_noacc,near_linear,shifted_double_lane,M2,0.004135232043027769
0,18,2,beta_noacc,near_linear,shifted_double_lane,M3,0.003635870590939281
0,18,2,beta_noacc,near_linear,shifted_double_lane,M4,0.0036421455668591636
