case,client,speed,rho,error_a,error_b,k_beta,k_yaw,k_integral,prefilter
nonlinear_all_original,handling_00,13.8,1.0063934054962655,0.06696979530914922,0.06721480794833146,21.716834422216962,-0.08133290307306251,-0.4144169474538941,-2.1758843171294826
nonlinear_all_original,handling_00,13.9,1.0021806529936612,0.06631264363126653,0.06841788395051741,20.764539128939372,-0.03877179222459726,-0.12369349105441074,-2.0275426953250375
nonlinear_all_original,handling_00,14.0,0.9963449455903606,0.0657526708825824,0.07013687155005353,19.812243835661786,0.00378931862386811,0.16702996534507175,-1.8792010735205924
nonlinear_all_original,handling_00,14.1,0.9872916890538745,0.06528244437858569,0.0723423159823917,18.8599485423842,0.046350429472333476,0.45775342174455425,-1.7308594517161473
nonlinear_all_original,handling_00,14.2,0.986350827437018,0.06489472690138999,0.07499739065683181,17.90765324910661,0.08891154032079873,0.7484768781440376,-1.5825178299117022
nonlinear_all_original,handling_00,14.3,0.9852860422999575,0.06458251745561307,0.07806117927299053,16.955357955829005,0.13147265116926476,1.0392003345435255,-1.4341762081072544
nonlinear_all_original,handling_00,14.4,0.9840887923520069,0.06433908629373684,0.08149153300149292,16.003062662551418,0.17403376201773002,1.329923790943008,-1.2858345863028093
nonlinear_all_original,handling_00,14.5,0.9827494429652921,0.0641580035999807,0.08524724830636238,15.050767369273832,0.2165948728661954,1.6206472473424913,-1.1374929644983647
nonlinear_all_original,handling_00,14.6,0.9812570451242727,0.06403316159194866,0.0892895233678262,14.098472075996241,0.25915598371466075,1.9113707037419738,-0.9891513426939196
nonlinear_all_original,handling_00,14.7,0.9795990533174916,0.06395879012055003,0.09358278582647936,13.146176782718655,0.3017170945631261,2.202094160141457,-0.8408097208894745
nonlinear_all_original,handling_00,14.8,0.9777609605983207,0.063929466107299,0.0980950409943955,12.19388148944105,0.34427820541159215,2.492817616540945,-0.6924680990850263
nonlinear_all_original,handling_00,14.9,0.9757258192468308,0.06394011734902176,0.1027978920067053,11.241586196163464,0.3868393162600575,2.7835410729404284,-0.5441264772805816
nonlinear_all_original,handling_00,15.0,0.9734736002134718,0.06398602134520463,0.10766635850816418,10.289290902885874,0.4294004271085229,3.07426452933991,-0.39578485547613607
nonlinear_all_original,handling_00,15.1,0.9709803200974926,0.06406279986958055,0.11267858766811097,9.336995609608287,0.47196153795698803,3.3649879857393934,-0.2474432336716914
nonlinear_all_original,handling_00,15.2,0.968216824008934,0.06416641002488459,0.11781552099007667,8.3847003163307,0.5145226488054534,3.6557114421388768,-0.09910161186724675
nonlinear_all_original,handling_00,15.3,0.9651470433127531,0.06429313249896697,0.12306055649302998,7.4324050230530965,0.5570837596539194,3.9464348985383637,0.04924000993720146
nonlinear_all_original,handling_00,15.4,0.9617254229735674,0.06443955769238154,0.12839922879297158,6.480109729775506,0.5996448705023848,4.237158354937847,0.1975816317416461
nonlinear_all_original,handling_00,15.5,0.9578929788625802,0.0646025703218897,0.13381891830095266,5.52781443649792,0.6422059813508502,4.5278818113373305,0.34592325354609166
nonlinear_all_original,handling_00,15.6,0.9535709755694525,0.06477933302912613,0.13930859370638957,4.575519143220333,0.6847670921993155,4.818605267736812,0.4942648753505363
nonlinear_all_original,handling_00,15.7,0.9486501999557793,0.06496726944539123,0.14485858780550415,3.6232238499427467,0.7273282030477807,5.1093287241362955,0.6426064971549819
nonlinear_all_original,handling_00,15.8,0.9429713935262065,0.06516404708685915,0.1504604045380067,2.670928556665139,0.7698893138962467,5.400052180535784,0.7909481189594292
nonlinear_all_original,handling_00,15.9,0.936285918772615,0.06536756038263543,0.15610655408342636,1.7186332633875523,0.8124504247447121,5.690775636935266,0.9392897407638747
nonlinear_all_original,handling_00,16.0,0.9281650151473483,0.06557591407306403,0.16179041255528293,0.7663379701099685,0.8550115355931773,5.981499093334749,1.087631362568319
nonlinear_all_original,handling_00,16.1,0.9285357952935087,0.0657874071584384,0.1675061029051357,0.7725402723556598,0.858982011281038,5.9863054762178765,1.0898317228207177
nonlinear_all_original,handling_00,16.2,0.9289029451930318,0.06600051752912255,0.17324839391742683,0.7787425746013508,0.8629524869688985,5.991111859101003,1.0920320830731165
