seed,regime,kind,method,models,tracking,worst_client,parameter_error,feasible,rho
127,continuous,continuous,LearnedK,2,0.007840492064080891,0.012254694147612566,0.04350645401276321,1.0,0.9664421603506542
127,continuous,continuous,Local,30,0.006827979331211951,0.007355049404389466,0.023466360617619135,1.0,0.9671710068750088
127,continuous,continuous,OraclePartition,2,0.007787463609810029,0.012995805855728933,0.04447820818008913,1.0,0.96629686460001
127,high-noise,discrete,Global,1,0.011594967581925577,0.018390975602390534,0.1329607154464633,1.0,0.966796063989956
127,high-noise,discrete,LearnedK,2,0.009525103113965361,0.0171228711620328,0.08368246791617888,1.0,0.9680387785938452
127,high-noise,discrete,Local,30,0.006992376724114401,0.009058798485280366,0.10153546934612978,1.0,0.9689413020591968
127,high-noise,discrete,OracleFamily,3,0.007341525059159252,0.0101820500072076,0.049552121639027766,1.0,0.96818388987332
127,high-noise,discrete,OraclePartition,3,0.007341525059159252,0.0101820500072076,0.049552121639027766,1.0,0.96818388987332
127,short-data,discrete,Global,1,0.011664536743519789,0.0213874105333059,0.12470848205572198,1.0,0.9662596579039217
127,short-data,discrete,LearnedK,3,0.01253867010781464,0.029430698996616062,0.17758986117236616,1.0,0.9686009088811292
127,short-data,discrete,Local,30,0.014711440781267996,0.04515898705425283,0.2095558211864072,1.0,0.9718974928035368
127,short-data,discrete,OracleFamily,3,0.007761021130671842,0.012029663853885401,0.04935529919845035,1.0,0.9678005397240812
127,short-data,discrete,OraclePartition,3,0.007742916650311363,0.0122749307626985,0.04962266497089221,1.0,0.967753666703474
127,unbalanced,discrete,Global,1,0.00953830904709297,0.0188739702350403,0.11454550254837369,1.0,0.9680453849436564
127,unbalanced,discrete,LearnedK,3,0.007148672368195773,0.0097524720790152,0.04625612469464551,1.0,0.9688451315872446
127,unbalanced,discrete,Local,30,0.00663830683188971,0.007268642432661033,0.028625892391911562,1.0,0.9694444240830457
127,unbalanced,discrete,OracleFamily,3,0.007148672368195773,0.0097524720790152,0.04625612469464551,1.0,0.9688451315872446
127,unbalanced,discrete,OraclePartition,3,0.007148672368195773,0.0097524720790152,0.04625612469464551,1.0,0.9688451315872446
128,baseline,discrete,Global,1,0.012444119274530999,0.01871012785996583,0.12886195222342103,1.0,0.9669519675761163
128,baseline,discrete,LearnedK,3,0.007713722288940313,0.010942856386898533,0.049146133925632066,1.0,0.968503920132201
128,baseline,discrete,Local,30,0.006682362711190248,0.007384072861091,0.02392174145074644,1.0,0.9690492919560292
128,baseline,discrete,OracleFamily,3,0.007713722288940313,0.010942856386898533,0.049146133925632066,1.0,0.968503920132201
128,baseline,discrete,OraclePartition,3,0.007713722288940313,0.010942856386898533,0.049146133925632066,1.0,0.968503920132201
128,continuous,continuous,Global,1,0.009410656659257033,0.015107185741192101,0.07942629508560256,1.0,0.9652557395519532
128,continuous,continuous,LearnedK,2,0.007616306261831374,0.009565970538703833,0.04351477429969637,1.0,0.9664115340179368
128,continuous,continuous,Local,30,0.0068877223758732915,0.007248298120392867,0.021199760072776366,1.0,0.9668395316951044
128,continuous,continuous,OraclePartition,2,0.0077774649100371745,0.010784614583854999,0.043148958205886725,1.0,0.9661403625904074
128,high-noise,discrete,Global,1,0.012661923813243806,0.0214271891678941,0.12951435460016752,1.0,0.9670118574366018
128,high-noise,discrete,LearnedK,2,0.009450434057502604,0.019420686346899665,0.08716098599115917,1.0,0.9685030046192404
128,high-noise,discrete,Local,30,0.007111618399034865,0.010085801050591333,0.09306101881125926,1.0,0.9690516478816806
128,high-noise,discrete,OracleFamily,3,0.007582381803286114,0.011875764609852435,0.04529128321694912,1.0,0.9686142381839322
128,high-noise,discrete,OraclePartition,3,0.00757835691810479,0.0118713360996976,0.045396840106661215,1.0,0.9686165242031766
128,short-data,discrete,Global,1,0.012544825692379942,0.021398361843936602,0.13329059806630653,1.0,0.9671334657435104
128,short-data,discrete,LearnedK,3,0.011483581118768526,0.029584058966449434,0.18550264609141298,1.0,0.9696621344241808
128,short-data,discrete,Local,30,0.014178210852551757,0.031012525276132564,0.20691250153425855,1.0,0.9706152240779884
128,short-data,discrete,OracleFamily,3,0.007509273379109495,0.010536044990086266,0.05652780569962502,1.0,0.9685923094369244
