gamma,low,high,time_scale,plant,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible
0,18,22,1,legacy,moderate,M3,0.028082845570198377,0.00040960951363642524,0.02853717160606446,0.7674145953236182,1.955971781501317,1.0
0,18,22,1,legacy,moderate,M4,0.02810305653579324,0.0004111788919701849,0.028640794676639297,0.7674153069363047,1.9564345553032625,1.0
0,18,22,1,legacy,near_linear,M1,0.013687005921086478,0.00023276073465050537,0.013931395279025437,0.38202198335973003,0.9771965791092831,1.0
0,18,22,1,legacy,near_linear,M2,0.013696413133338756,0.000233119549083935,0.013997926885452514,0.3820223202314112,0.9774078093031268,1.0
0,18,22,1,legacy,near_linear,M3,0.013500933339216894,0.00019552813019759754,0.01372334043031329,0.38197457489020253,0.9784556789016216,1.0
0,18,22,1,legacy,near_linear,M4,0.013511038539868691,0.00019639683200032548,0.013770520666308869,0.3819749368329678,0.9786738810325016,1.0
0,18,22,1,legacy,strong,M1,0.04611974541220037,0.0007892676300958076,0.046896291941475876,1.160372161017241,2.9132526979310973,1.0
0,18,22,1,legacy,strong,M2,0.0461478052596361,0.000790135348502611,0.04714138362636171,1.1603731132926165,2.913978201694864,1.0
0,18,22,1,legacy,strong,M3,0.045568679024089606,0.0006781088821054728,0.046279339348780264,1.160215194923976,2.9170680235937296,1.0
0,18,22,1,legacy,strong,M4,0.04559900227864619,0.0006799061453160775,0.04646873531012951,1.1602162318106257,2.9178143744221083,1.0
0,18,22,1,vy,moderate,M1,0.028451903057127727,0.00048431637141990264,0.028950646902004818,0.7674954544421213,1.954693393030961,1.0
0,18,22,1,vy,moderate,M2,0.02847066583438699,0.0004850030867651998,0.029092516353212867,0.7674961122203561,1.9551456569723948,1.0
0,18,22,1,vy,moderate,M3,0.02808420910567049,0.0004099106367605082,0.028538900081743722,0.76739746042015,1.957205722769344,1.0
0,18,22,1,vy,moderate,M4,0.028104407571154188,0.00041148344746430707,0.02864256342785751,0.7673981705921381,1.9576719440095744,1.0
0,18,22,1,vy,near_linear,M1,0.013686855855628913,0.00023282811613862218,0.013931358831797348,0.3820138662755607,0.9777805042794636,1.0
0,18,22,1,vy,near_linear,M2,0.013696260061698653,0.0002331878298776145,0.013997881764281263,0.38201420246493745,0.9779931455053203,1.0
0,18,22,1,vy,near_linear,M3,0.013500605238502172,0.00019562914790208588,0.01372316646706737,0.3819665779994678,0.9790385170985538,1.0
0,18,22,1,vy,near_linear,M4,0.013510705327884162,0.0001964993857696193,0.013770343326457999,0.3819669392793851,0.9792581307976488,1.0
0,18,22,1,vy,strong,M1,0.04613088466627187,0.0007899775379940354,0.046908030975846914,1.160341108143188,2.9150126527157214,1.0
0,18,22,1,vy,strong,M2,0.04615892745211237,0.0007908515738107002,0.047153337394543075,1.1603420578826322,2.9157450574964363,1.0
0,18,22,1,vy,strong,M3,0.04557971646484015,0.0006789316895460571,0.046291095998677596,1.160184696398327,2.91882434248624,1.0
0,18,22,1,vy,strong,M4,0.04561001474233364,0.000680735454916248,0.04648074460768193,1.1601857308185324,2.9195775996359377,1.0
0,18,22,2,beta_noacc,moderate,M1,0.007991090625270595,0.0002185140599823325,0.00836768336243609,0.7670652183844051,0.9906799032771184,1.0
0,18,22,2,beta_noacc,moderate,M2,0.008002966025072408,0.00021925612224353683,0.008360266007383824,0.7670653080507576,0.9907277803225062,1.0
0,18,22,2,beta_noacc,moderate,M3,0.007746415658276116,0.00015887074241410022,0.008094497526628273,0.7670375121417993,0.9915652433924216,1.0
0,18,22,2,beta_noacc,moderate,M4,0.007759989239432658,0.00016072304064308844,0.008091341718791441,0.7670376177451588,0.9916165281196376,1.0
0,18,22,2,beta_noacc,near_linear,M1,0.003856893219378763,0.00010837401704393159,0.004042751889607512,0.3814652303940417,0.4915321967422727,1.0
0,18,22,2,beta_noacc,near_linear,M2,0.0038628007988181106,0.00010876459341416468,0.004039379028981189,0.3814652809369258,0.4915578991153541,1.0
0,18,22,2,beta_noacc,near_linear,M3,0.003724449430088163,7.879963536785608e-05,0.003896591675106497,0.3814519854142916,0.4919599988700365,1.0
0,18,22,2,beta_noacc,near_linear,M4,0.0037311776861799874,7.973567763523847e-05,0.00389525372614929,0.3814520434555058,0.4919874038784031,1.0
0,18,22,2,beta_noacc,strong,M1,0.012894782951597886,0.00033680362765431816,0.013473790434848332,1.1620826025293538,1.507936608072084,1.0
0,18,22,2,beta_noacc,strong,M2,0.012912661625129565,0.00033783330195442886,0.013461834167969389,1.1620826999288065,1.5080039011377029,1.0
0,18,22,2,beta_noacc,strong,M3,0.012576920005199454,0.00024570568390485216,0.0131098950935267,1.1620372284974123,1.5093494951456872,1.0
0,18,22,2,beta_noacc,strong,M4,0.012597486885875886,0.00024833027161374295,0.013104683757741053,1.1620373527455534,1.5094183454868932,1.0
0,18,22,2,legacy,moderate,M1,0.007991128141669603,0.0002185543306767265,0.008367763138453683,0.767065466594797,0.990650808234228,1.0
0,18,22,2,legacy,moderate,M2,0.008003003314548961,0.00021929631653188456,0.008360347316713857,0.7670655562490001,0.9906986940066602,1.0
0,18,22,2,legacy,moderate,M3,0.007746334083972972,0.0001589050376971916,0.008094443832191208,0.7670377535002446,0.9915361831005102,1.0
0,18,22,2,legacy,moderate,M4,0.00775990719141203,0.0001607559685215641,0.00809129262349099,0.7670378590916526,0.991587476342946,1.0
0,18,22,2,legacy,near_linear,M1,0.0038569092469712372,0.0001083943822844626,0.004042789347187617,0.38146534901147644,0.4915160697360629,1.0
0,18,22,2,legacy,near_linear,M2,0.0038628167247686134,0.00010878494776793505,0.004039417226525718,0.38146539954841263,0.4915417766105436,1.0
0,18,22,2,legacy,near_linear,M3,0.003724403394521418,7.881710080685952e-05,0.003896559592337908,0.3814521003178432,0.4919438839849206,1.0
0,18,22,2,legacy,near_linear,M4,0.0037311314307816043,7.975249182754098e-05,0.003895223983574613,0.38145215835313545,0.4919712933807034,1.0
0,18,22,2,legacy,strong,M1,0.01289488344216185,0.00033686357510619776,0.013473952184137161,1.1620830077269753,1.507902717386539,1.0
0,18,22,2,legacy,strong,M2,0.012912761676864304,0.00033789306761080777,0.013461998599640873,1.1620831051074347,1.5079700248851968,1.0
0,18,22,2,legacy,strong,M3,0.012576856095486089,0.0002457566280707549,0.013109872276027456,1.1620376253952818,1.5093156695051888,1.0
0,18,22,2,legacy,strong,M4,0.012597422153922469,0.00024837913141945774,0.013104667751749685,1.162037749625129,1.509384551845797,1.0
0,18,22,2,vy,moderate,M1,0.007991428453642199,0.00021854909137338877,0.00836811959054432,0.7670617843226902,0.9913062287838637,1.0
0,18,22,2,vy,moderate,M2,0.008003305192838522,0.00021928856816743705,0.00836068996022358,0.76706187379186,0.991354323026468,1.0
0,18,22,2,vy,moderate,M3,0.007746814413257877,0.00015890174536432717,0.008095007971279674,0.7670341797739264,0.9921927504477986,1.0
0,18,22,2,vy,moderate,M4,0.00776038908854218,0.00016075316167823717,0.008091840844745823,0.7670342851904073,0.9922442534478156,1.0
0,18,22,2,vy,near_linear,M1,0.003856923772943809,0.00010838408844695912,0.004042823424787521,0.38146324151412025,0.4917928789134237,1.0
0,18,22,2,vy,near_linear,M2,0.0038628321991943416,0.00010877328785050531,0.004039444446639144,0.3814632919739496,0.4918186924546041,1.0
0,18,22,2,vy,near_linear,M3,0.003724488074258603,7.880968164291804e-05,0.003896679677648917,0.3814500376955546,0.4922211006338761,1.0
0,18,22,2,vy,near_linear,M4,0.0037312170441557322,7.974532727362247e-05,0.0038953360650087624,0.38145009565743976,0.4922486170664558,1.0
0,18,22,2,vy,strong,M1,0.012896657371803436,0.0003369268615472699,0.01347587288908523,1.1620790658259363,1.5092270542772168,1.0
0,18,22,2,vy,strong,M2,0.012914535991425367,0.00033795378345525667,0.013463902310629087,1.1620791628221712,1.5092947075073369,1.0
0,18,22,2,vy,strong,M3,0.012578991509681304,0.0002458051155301471,0.013112179801900839,1.1620339135242583,1.5106434635913777,1.0
0,18,22,2,vy,strong,M4,0.012599558010347778,0.00024842773548701093,0.013106954982505772,1.162034037393973,1.510712081459879,1.0
1,10,30,1,beta_noacc,moderate,M1,0.04030328939754601,0.0009663062798066757,0.048663437034101885,0.8072856947505646,2.3123406394757597,1.0
1,10,30,1,beta_noacc,moderate,M2,0.03623365018590321,0.0008146346460477715,0.03727776673205421,0.8072470278537794,2.3205049035074303,1.0
1,10,30,1,beta_noacc,moderate,M3,0.032483065657075094,0.0010443923539081993,0.038392915220759834,0.8069439657831566,2.3237411053185544,1.0
1,10,30,1,beta_noacc,moderate,M4,0.027167931180444672,0.0006153135247400687,0.02826719873015433,0.8069434165589859,2.331675954329385,1.0
1,10,30,1,beta_noacc,near_linear,M1,0.019552006782695718,0.0004676408759719253,0.02351714167716032,0.4011088614878148,1.1528197652004115,1.0
1,10,30,1,beta_noacc,near_linear,M2,0.017623688368490348,0.00039329777044804003,0.018142399130824733,0.4010905512994413,1.1569018817489312,1.0
1,10,30,1,beta_noacc,near_linear,M3,0.015590158418742433,0.0005096554236202872,0.018384757893386776,0.40095646896352166,1.1584788090784632,1.0
1,10,30,1,beta_noacc,near_linear,M4,0.013009561175583445,0.0002970682694559144,0.013553176024847454,0.400955338109407,1.16248574015924,1.0
1,10,30,1,beta_noacc,strong,M1,0.06472549009236743,0.0015394585052589433,0.0786451798257988,1.224158469300038,3.4861914510964054,1.0
1,10,30,1,beta_noacc,strong,M2,0.058136005423727696,0.0013113123396899262,0.0597739575972497,1.2241056280433666,3.498439719166873,1.0
1,10,30,1,beta_noacc,strong,M3,0.053153932516895354,0.0016337947574490733,0.06319425002891813,1.22354337115669,3.5034690192096027,1.0
1,10,30,1,beta_noacc,strong,M4,0.04493016489243869,0.0010042513378807295,0.04663122479412472,1.223558196321251,3.5153072523467506,1.0
1,10,30,1,legacy,moderate,M1,0.04030585999668,0.0009667684886425043,0.04866883166988931,0.8072805921394165,2.3124178011599232,1.0
1,10,30,1,legacy,moderate,M2,0.0362342279797064,0.000814974093988908,0.03727874530469073,0.8072418975528869,2.320566385462456,1.0
1,10,30,1,legacy,moderate,M3,0.03248120698968309,0.0010448158197521173,0.03839667472618689,0.8069380510343176,2.32380108288688,1.0
